feature,higher_more_stable,coverage,accuracy,n_groups
cn_cat_max,False,0.45826115372842685,0.6697305882433998,419
bv_rel_max,False,0.7846368680765664,0.6495222402583318,625
p4_violate,True,0.1392854721539875,0.6481703736876151,145
mean_cn_cat,False,0.543615532644295,0.6469120325553664,484
gii,False,0.8178256292260437,0.6464242881855352,651
bv_rel_mean,False,0.815239975525576,0.6459285637045512,649
bv_frac_bad,False,0.5448724751518971,0.64533646930026,496
bv_mean_abs,False,0.8107271195499156,0.6439429087606554,646
bv_max_abs,False,0.7934281245750413,0.6349052120234951,632
frac_isolated,False,0.11723836811855687,0.6263235833448049,126
frac_like_bonds,False,0.23862680988824736,0.6258679033897511,235
min_opp_frac,True,0.21352461774655415,0.6239532696837884,216
p4_n_viol_per_cat,True,0.4353154388011566,0.6166194770768473,383
econ_max,False,0.9910632454518191,0.6146177887298077,792
cn_cat_span,False,0.33147253866811155,0.6118399923341064,306
cn_cat_std,False,0.38572573039389224,0.6110474172202747,344
pair_per_cat,True,0.6643974499286697,0.6003908214719502,574
poly_deg_mean,True,0.6643974499286697,0.6003908214719502,574
poly_deg_max,True,0.6339569399408824,0.5997958536355428,554
frac_corner,True,0.3408389799654858,0.5994307122485848,302
p3_frac_edge_face,False,0.3408389799654858,0.5994307122485848,302
rep9_cc_pa,False,0.11086932059095508,0.5990415941446868,97
cn_cat_range_norm,False,0.39077181788521603,0.5977816229820384,346
cn_cat_min,False,0.3443282835824015,0.5973534192728986,330
econ_mean,False,0.9982164157412021,0.5950202070867064,796
csys_rank_001,False,0.6447229677492671,0.5938872349682172,566
p3_frac_face,False,0.4494981736254992,0.5900998243247437,391
cn_an_max,False,0.45988384896962764,0.5845955743212845,427
repexp_cc_pa,False,0.11086932059095508,0.5835776766189137,97
wyckoff_econ_01,False,0.748641340344328,0.58324046974545,637
wyckoff_econ_001,False,0.7492245568550663,0.5825157371094581,638
repexp_aa_pa,False,0.9582162589698244,0.5800755565471646,764
rep9_aa_pa,False,0.958223216514538,0.5786653109760053,764
angvar_mean,False,0.999034524474223,0.5778453896399482,796
p2_n_bad_per_an,False,0.327300945176672,0.5754916016266867,305
econ_min,False,0.8367922230548054,0.5749715065915947,685
phi_mean,False,0.9575854049155355,0.5712692726848804,763
phi_min,False,0.9563140259114732,0.5709012580075381,762
mef_absmax,False,0.9993960204934249,0.5671883363121166,796
madz_std,False,0.9684045377198643,0.5629906078422877,777
sh_pack,False,0.991137186556145,0.5624383220505408,790
p5_n_distinct,False,0.17646518869889202,0.5615464311941597,176
p2_mean_dev,False,0.5370702535424411,0.5608680269374482,474
strain2_ca_pa,False,0.9685929648241206,0.5568942187028993,771
p5_max_distinct,False,0.17126059429831775,0.5562916970358844,172
ecc_mean,True,0.9954424902289224,0.5554948779206237,794
p2_frac_ok_010,True,0.352129571850309,0.552226193958286,334
econ_std,False,0.9451184399379874,0.5521318115937941,763
madz_range,False,0.96536091049282,0.5516196512966107,775
mad_max,False,0.9999607412060302,0.5500259356194048,796
p5_ok,True,0.1555201758889625,0.5486284293605558,161
