element,oxidation,characteristic_cn,acidity_e,source_doi,license
Li,1,4.64,0.215,10.1180/mgm.2026.10215,CC-BY-4.0
Be,2,3.95,0.506,10.1180/mgm.2026.10215,CC-BY-4.0
B,3,3.44,0.871,10.1180/mgm.2026.10215,CC-BY-4.0
C,4,3.00,1.333,10.1180/mgm.2026.10215,CC-BY-4.0
N,5,3.006,1.663,10.1180/mgm.2026.10215,CC-BY-4.0
Na,1,6.31,0.159,10.1180/mgm.2026.10215,CC-BY-4.0
Mg,2,5.93,0.337,10.1180/mgm.2026.10215,CC-BY-4.0
Al,3,5.15,0.583,10.1180/mgm.2026.10215,CC-BY-4.0
Si,4,4.019,0.995,10.1180/mgm.2026.10215,CC-BY-4.0
P,3,3,1.000,10.1180/mgm.2026.10215,CC-BY-4.0
P,5,4,1.250,10.1180/mgm.2026.10215,CC-BY-4.0
S,4,3,1.333,10.1180/mgm.2026.10215,CC-BY-4.0
S,6,4,1.500,10.1180/mgm.2026.10215,CC-BY-4.0
Cl,3,2.4,1.300,10.1180/mgm.2026.10215,CC-BY-4.0
Cl,5,3,1.666,10.1180/mgm.2026.10215,CC-BY-4.0
Cl,7,4,1.750,10.1180/mgm.2026.10215,CC-BY-4.0
K,1,9.23,0.108,10.1180/mgm.2026.10215,CC-BY-4.0
Ca,2,7.58,0.264,10.1180/mgm.2026.10215,CC-BY-4.0
Sc,3,6.24,0.481,10.1180/mgm.2026.10215,CC-BY-4.0
Ti,3,6.20,0.486,10.1180/mgm.2026.10215,CC-BY-4.0
Ti,4,5.91,0.676,10.1180/mgm.2026.10215,CC-BY-4.0
V,3,5.99,0.501,10.1180/mgm.2026.10215,CC-BY-4.0
V,4,5.58,0.717,10.1180/mgm.2026.10215,CC-BY-4.0
V,5,4.91,1.018,10.1180/mgm.2026.10215,CC-BY-4.0
Cr,2,5.20,0.390,10.1180/mgm.2026.10215,CC-BY-4.0
Cr,3,6,0.500,10.1180/mgm.2026.10215,CC-BY-4.0
Cr,4,5.70,0.710,10.1180/mgm.2026.10215,CC-BY-4.0
Cr,5,4,1.250,10.1180/mgm.2026.10215,CC-BY-4.0
Cr,6,4,1.500,10.1180/mgm.2026.10215,CC-BY-4.0
Mn,2,5.98,0.334,10.1180/mgm.2026.10215,CC-BY-4.0
Mn,3,5.85,0.513,10.1180/mgm.2026.10215,CC-BY-4.0
Mn,4,5.90,0.680,10.1180/mgm.2026.10215,CC-BY-4.0
Mn,5,4,1.250,10.1180/mgm.2026.10215,CC-BY-4.0
Mn,6,4,1.500,10.1180/mgm.2026.10215,CC-BY-4.0
Mn,7,4,1.750,10.1180/mgm.2026.10215,CC-BY-4.0
Fe,2,5.68,0.352,10.1180/mgm.2026.10215,CC-BY-4.0
Fe,3,5.68,0.528,10.1180/mgm.2026.10215,CC-BY-4.0
Co,2,5.64,0.355,10.1180/mgm.2026.10215,CC-BY-4.0
Co,3,6,0.500,10.1180/mgm.2026.10215,CC-BY-4.0
Co,4,6,0.666,10.1180/mgm.2026.10215,CC-BY-4.0
Ni,2,5.91,0.338,10.1180/mgm.2026.10215,CC-BY-4.0
Ni,4,6,0.666,10.1180/mgm.2026.10215,CC-BY-4.0
Cu,1,2.5,0.400,10.1180/mgm.2026.10215,CC-BY-4.0
Cu,2,5.35,0.374,10.1180/mgm.2026.10215,CC-BY-4.0
Cu,3,4,0.750,10.1180/mgm.2026.10215,CC-BY-4.0
Zn,2,4.93,0.405,10.1180/mgm.2026.10215,CC-BY-4.0
Ga,3,4.72,0.636,10.1180/mgm.2026.10215,CC-BY-4.0
Ge,4,4.31,0.928,10.1180/mgm.2026.10215,CC-BY-4.0
As,3,4.50,0.660,10.1180/mgm.2026.10215,CC-BY-4.0
As,5,4.05,1.235,10.1180/mgm.2026.10215,CC-BY-4.0
Se,4,5.85,0.680,10.1180/mgm.2026.10215,CC-BY-4.0
Se,6,4,1.500,10.1180/mgm.2026.10215,CC-BY-4.0
Br,5,6.30,0.790,10.1180/mgm.2026.10215,CC-BY-4.0
Br,7,4,1.750,10.1180/mgm.2026.10215,CC-BY-4.0
Rb,1,10.1,0.099,10.1180/mgm.2026.10215,CC-BY-4.0
Sr,2,8.99,0.222,10.1180/mgm.2026.10215,CC-BY-4.0
Y,3,7.63,0.393,10.1180/mgm.2026.10215,CC-BY-4.0
Zr,4,6.8,0.589,10.1180/mgm.2026.10215,CC-BY-4.0
Nb,4,6,0.666,10.1180/mgm.2026.10215,CC-BY-4.0
Nb,5,5.99,0.835,10.1180/mgm.2026.10215,CC-BY-4.0
Mo,3,6,0.500,10.1180/mgm.2026.10215,CC-BY-4.0
Mo,4,6,0.666,10.1180/mgm.2026.10215,CC-BY-4.0
Mo,5,5.99,0.835,10.1180/mgm.2026.10215,CC-BY-4.0
Mo,6,5.06,1.185,10.1180/mgm.2026.10215,CC-BY-4.0
Tc,7,4,1.750,10.1180/mgm.2026.10215,CC-BY-4.0
Ru,3,6,0.500,10.1180/mgm.2026.10215,CC-BY-4.0
Ru,4,6,0.667,10.1180/mgm.2026.10215,CC-BY-4.0
Ru,5,6,0.833,10.1180/mgm.2026.10215,CC-BY-4.0
Rh,3,6,0.500,10.1180/mgm.2026.10215,CC-BY-4.0
Rh,4,6,0.666,10.1180/mgm.2026.10215,CC-BY-4.0
Pd,2,4,0.500,10.1180/mgm.2026.10215,CC-BY-4.0
Pd,4,6,0.666,10.1180/mgm.2026.10215,CC-BY-4.0
Ag,1,5.2,0.191,10.1180/mgm.2026.10215,CC-BY-4.0
Cd,2,6.25,0.320,10.1180/mgm.2026.10215,CC-BY-4.0
In,3,6.06,0.495,10.1180/mgm.2026.10215,CC-BY-4.0
Sn,2,4.70,0.430,10.1180/mgm.2026.10215,CC-BY-4.0
Sn,4,5.8,0.690,10.1180/mgm.2026.10215,CC-BY-4.0
Sb,3,5.3,0.560,10.1180/mgm.2026.10215,CC-BY-4.0
Sb,5,6,0.833,10.1180/mgm.2026.10215,CC-BY-4.0
Te,4,7.0,0.571,10.1180/mgm.2026.10215,CC-BY-4.0
Te,6,6,1.000,10.1180/mgm.2026.10215,CC-BY-4.0
I,5,6.56,0.762,10.1180/mgm.2026.10215,CC-BY-4.0
I,7,5.89,1.190,10.1180/mgm.2026.10215,CC-BY-4.0
Cs,1,11.9,0.084,10.1180/mgm.2026.10215,CC-BY-4.0
Ba,2,10.28,0.194,10.1180/mgm.2026.10215,CC-BY-4.0
La,3,8.7,0.343,10.1180/mgm.2026.10215,CC-BY-4.0
Ce,3,9.4,0.320,10.1180/mgm.2026.10215,CC-BY-4.0
Ce,4,8.8,0.450,10.1180/mgm.2026.10215,CC-BY-4.0
Pr,3,9.2,0.326,10.1180/mgm.2026.10215,CC-BY-4.0
Nd,3,8.3,0.363,10.1180/mgm.2026.10215,CC-BY-4.0
Sm,3,7.9,0.380,10.1180/mgm.2026.10215,CC-BY-4.0
Eu,2,8.3,0.240,10.1180/mgm.2026.10215,CC-BY-4.0
Eu,3,8.1,0.371,10.1180/mgm.2026.10215,CC-BY-4.0
Gd,3,8.1,0.371,10.1180/mgm.2026.10215,CC-BY-4.0
Tb,3,8.0,0.375,10.1180/mgm.2026.10215,CC-BY-4.0
Tb,4,6,0.666,10.1180/mgm.2026.10215,CC-BY-4.0
Dy,3,7.6,0.396,10.1180/mgm.2026.10215,CC-BY-4.0
Ho,3,7.4,0.403,10.1180/mgm.2026.10215,CC-BY-4.0
Er,3,7.66,0.392,10.1180/mgm.2026.10215,CC-BY-4.0
Tm,3,7.3,0.413,10.1180/mgm.2026.10215,CC-BY-4.0
Yb,3,7.2,0.416,10.1180/mgm.2026.10215,CC-BY-4.0
Lu,3,7.1,0.423,10.1180/mgm.2026.10215,CC-BY-4.0
Hf,4,6.8,0.590,10.1180/mgm.2026.10215,CC-BY-4.0
Ta,5,6.09,0.822,10.1180/mgm.2026.10215,CC-BY-4.0
W,5,6,0.833,10.1180/mgm.2026.10215,CC-BY-4.0
W,6,5.81,1.033,10.1180/mgm.2026.10215,CC-BY-4.0
Re,5,6,0.833,10.1180/mgm.2026.10215,CC-BY-4.0
Re,7,4.5,1.560,10.1180/mgm.2026.10215,CC-BY-4.0
Os,5,6,0.833,10.1180/mgm.2026.10215,CC-BY-4.0
Os,6,6,1.000,10.1180/mgm.2026.10215,CC-BY-4.0
Os,7,5.9,1.200,10.1180/mgm.2026.10215,CC-BY-4.0
Os,8,5.4,1.490,10.1180/mgm.2026.10215,CC-BY-4.0
Ir,3,6,0.500,10.1180/mgm.2026.10215,CC-BY-4.0
Ir,4,5.4,0.740,10.1180/mgm.2026.10215,CC-BY-4.0
Ir,5,6,0.833,10.1180/mgm.2026.10215,CC-BY-4.0
Pt,2,4,0.500,10.1180/mgm.2026.10215,CC-BY-4.0
Pt,4,6,0.666,10.1180/mgm.2026.10215,CC-BY-4.0
Au,3,4,0.750,10.1180/mgm.2026.10215,CC-BY-4.0
Hg,2,6.1,0.327,10.1180/mgm.2026.10215,CC-BY-4.0
Tl,1,8.4,0.119,10.1180/mgm.2026.10215,CC-BY-4.0
Tl,3,6.6,0.460,10.1180/mgm.2026.10215,CC-BY-4.0
Pb,2,7.5,0.266,10.1180/mgm.2026.10215,CC-BY-4.0
Pb,4,5.6,0.720,10.1180/mgm.2026.10215,CC-BY-4.0
Bi,3,6.9,0.436,10.1180/mgm.2026.10215,CC-BY-4.0
Bi,5,5.8,0.860,10.1180/mgm.2026.10215,CC-BY-4.0
Th,4,8.9,0.450,10.1180/mgm.2026.10215,CC-BY-4.0
U,4,9.8,0.410,10.1180/mgm.2026.10215,CC-BY-4.0
U,5,6.8,0.740,10.1180/mgm.2026.10215,CC-BY-4.0
U,6,6.91,0.868,10.1180/mgm.2026.10215,CC-BY-4.0
Np,5,7.0,0.711,10.1180/mgm.2026.10215,CC-BY-4.0
Np,6,7.1,0.840,10.1180/mgm.2026.10215,CC-BY-4.0
Np,7,6,1.166,10.1180/mgm.2026.10215,CC-BY-4.0
Am,3,9,0.333,10.1180/mgm.2026.10215,CC-BY-4.0
Cm,3,9,0.333,10.1180/mgm.2026.10215,CC-BY-4.0
