group,center_element,center_cn,group_charge,lewis_basicity_e,source_doi,license
BO3,B,3,-3,0.33,10.1180/mgm.2026.10215,CC-BY-4.0
BO4,B,4,-5,0.42,10.1180/mgm.2026.10215,CC-BY-4.0
SiO4,Si,4,-4,0.33,10.1180/mgm.2026.10215,CC-BY-4.0
AlO4,Al,4,-5,0.42,10.1180/mgm.2026.10215,CC-BY-4.0
PO4,P,4,-3,0.25,10.1180/mgm.2026.10215,CC-BY-4.0
AsO3,As,3,-3,0.33,10.1180/mgm.2026.10215,CC-BY-4.0
AsO4,As,4,-3,0.25,10.1180/mgm.2026.10215,CC-BY-4.0
VO4,V,4,-3,0.25,10.1180/mgm.2026.10215,CC-BY-4.0
CO3,C,3,-2,0.22,10.1180/mgm.2026.10215,CC-BY-4.0
NO3,N,3,-1,0.17,10.1180/mgm.2026.10215,CC-BY-4.0
SO4,S,4,-2,0.13,10.1180/mgm.2026.10215,CC-BY-4.0
