task,experiment,status,status_reason,formula,n_atoms,encut_ev,n_kpoints,entry,kind,merge_class,ordering_index,is_released_ordering,relax_cell.energy_ev,relax_cell.energy_ev_per_atom,relax_cell.volume_a3,relax_cell.release_ev_per_atom,relax_cell.n_ionic_steps,relax_cell.converged,relax_cell.elapsed_s,relax_cell.close_ions_warning,static.energy_ev,static.energy_ev_per_atom,static.volume_a3,static.release_ev_per_atom,static.n_ionic_steps,static.converged,static.elapsed_s,static.close_ions_warning
E2-0466bbe21f-o00,E2,complete,,LaPr(Al4Co)2,12,520.0,160,0466bbe21f,gnome,RE,0,True,-59.80353052,-4.983627543333333,217.2267409412988,0.00022183750000041394,8,True,267.074,False,-59.79917106,-4.983264255,217.2267409412988,0.0,1,False,47.689,False
E2-0466bbe21f-o01,E2,complete,,LaPr(Al4Co)2,12,520.0,160,0466bbe21f,gnome,RE,1,False,-59.80364601,-4.9836371675,217.09714631600497,0.00047336166666648677,13,True,410.093,False,-59.79923571,-4.9832696425,217.09714631600497,0.0,1,False,47.276,False
E2-08ffff2afe-o00,E2,complete,,Th2CoSi(PIr)3,10,520.0,147,08ffff2afe,gnome,G9,0,True,-81.09088093,-8.109088093,164.7811042593821,0.00011484399999943662,8,True,188.637,False,-81.08378449,-8.108378449,164.7811042593821,0.0,1,False,30.76,False
E2-08ffff2afe-o01,E2,complete,,Th2CoSi(PIr)3,10,520.0,147,08ffff2afe,gnome,G9,1,False,-80.52018791,-8.052018791,168.27145892426157,0.05689458200000104,15,True,397.279,False,-80.52526566,-8.052526566000001,168.27145892426157,0.0,1,False,104.343,False
E2-08ffff2afe-o02,E2,complete,,Th2CoSi(PIr)3,10,520.0,147,08ffff2afe,gnome,G9,2,False,-80.94158942,-8.094158942,164.7954897411888,0.061783843000000616,16,True,422.861,False,-80.93380988,-8.093380988,164.7954897411888,0.0,1,False,29.07,False
E2-1d214d5c6e-o00,E2,complete,,Y3Ho(RhO3)4,20,520.0,120,1d214d5c6e,gnome,RE,0,True,-156.1810837,-7.809054184999999,232.32583478540428,0.0023556469999988392,7,True,436.753,False,-156.17575932,-7.808787966,232.32583478540428,0.0,1,False,90.474,False
E2-1d214d5c6e-o01,E2,complete,,Y3Ho(RhO3)4,20,520.0,120,1d214d5c6e,gnome,RE,1,False,-156.18123986,-7.809061993,232.347739484841,0.0027718794999998407,10,True,602.391,False,-156.17593085,-7.8087965425,232.347739484841,0.0,1,False,91.07,False
E2-1d214d5c6e-o02,E2,complete,,Y3Ho(RhO3)4,20,520.0,120,1d214d5c6e,gnome,RE,2,False,-156.1813383,-7.809066915,232.309870961477,0.0027436574999995856,12,True,642.397,False,-156.17599123,-7.8087995615,232.309870961477,0.0,1,False,90.359,False
E2-1d214d5c6e-o03,E2,complete,,Y3Ho(RhO3)4,20,520.0,120,1d214d5c6e,gnome,RE,3,False,-156.18134019,-7.8090670095,232.31230052426352,0.0027059934999996925,12,True,641.299,False,-156.17599079,-7.808799539499999,232.31230052426352,0.0,1,False,90.657,False
E2-246bffd300-o00,E2,complete,,ThNp(TeAs)2,6,520.0,196,246bffd300,gnome,G3,0,True,-41.29530869,-6.882551448333333,159.8790418835412,0.007553563333332865,19,True,592.489,False,-41.29555592,-6.882592653333333,159.8790418835412,0.0,1,False,183.297,False
E2-246bffd300-o01,E2,complete,,ThNp(TeAs)2,6,520.0,196,246bffd300,gnome,G3,1,False,-41.2953092,-6.882551533333333,159.94338026410824,0.015390191666665961,13,True,634.081,False,-41.2910577,-6.88184295,159.94338026410824,0.0,1,False,389.13,False
