task,experiment,status,status_reason,formula,n_atoms,encut_ev,n_kpoints,parent,kind,variant,relax_ions_fixed_cell.energy_ev,relax_ions_fixed_cell.energy_ev_per_atom,relax_ions_fixed_cell.volume_a3,relax_ions_fixed_cell.release_ev_per_atom,relax_ions_fixed_cell.n_ionic_steps,relax_ions_fixed_cell.converged,relax_ions_fixed_cell.elapsed_s,relax_ions_fixed_cell.close_ions_warning,relax_cell.energy_ev,relax_cell.energy_ev_per_atom,relax_cell.volume_a3,relax_cell.release_ev_per_atom,relax_cell.n_ionic_steps,relax_cell.converged,relax_cell.elapsed_s,relax_cell.close_ions_warning,static.energy_ev,static.energy_ev_per_atom,static.volume_a3,static.release_ev_per_atom,static.n_ionic_steps,static.converged,static.elapsed_s,static.close_ions_warning
E3-cod-1001469-P0,E3,complete,,Ba2CePtO6,10,520.0,216,cod-1001469,experimental,P0,-69.41686204,-6.941686204,148.6421839192647,0.04992151499999977,3,True,144.373,False,-69.51130625,-6.951130625,154.06726441927876,1.2267000001031647e-05,2,True,85.771,False,-69.51139398,-6.951139398,154.06726441927876,0.0,1,False,30.373,False
E3-cod-1001469-S1,E3,complete,,Ba2CePtO6,10,520.0,288,cod-1001469,experimental,S1,-56.42636487,-5.642636487,113.39793219118758,0.17794173500000027,43,True,1499.114,False,-68.50341544,-6.850341544,149.49901003245267,1.2077088599999997,33,True,1788.28,False,-69.23750984,-6.923750984,149.49901003245267,0.0,1,False,53.186,False
E3-cod-1001469-S2,E3,complete,,Ba2CePtO6,10,520.0,216,cod-1001469,experimental,S2,-54.8770847,-5.487708469999999,148.6421839192647,0.12088861499999978,4,True,232.945,False,-57.93632179,-5.793632179,188.74848097892993,0.3059229870000003,8,True,632.826,False,-58.14617532,-5.814617532,188.74848097892993,0.0,1,False,97.45,False
E3-cod-1001469-S3,E3,unconverged,stage relax_ions_fixed_cell hit the ionic step limit,Ba2CePtO6,10,520.0,216,cod-1001469,experimental,S3,-10.53406138,-1.0534061380000002,148.6421839192647,16.520278769,200,False,8453.226,True,-65.91774344,-6.591774343999999,187.89525567066048,0.8419970449999994,52,True,4447.392,False,-66.09691867,-6.6096918669999996,187.89525567066048,0.0,1,False,114.559,False
E3-cod-1001469-S4,E3,complete,,Ba2CePtO6,10,520.0,125,cod-1001469,experimental,S4,-52.72066129,-5.272066129000001,325.33537001197925,0.19765992000000027,7,True,793.131,False,-69.66208223,-6.966208223,153.98407666456436,1.6936236329999992,19,True,2630.764,False,-69.5110737,-6.95110737,153.98407666456436,0.0,1,False,54.053,False
E3-cod-1001469-S5,E3,unconverged,stage relax_ions_fixed_cell hit the ionic step limit,Ba2CePtO6,10,520.0,216,cod-1001469,experimental,S5,-69.41608582,-6.941608582000001,148.6421839192647,2.522888736000001,200,False,9936.358,False,-69.50981025,-6.950981025,154.05415042148834,1.528399999983776e-05,2,True,86.492,False,-69.50991122,-6.9509911220000005,154.05415042148834,0.0,1,False,80.575,False
E3-cod-1010052-P0,E3,complete,,Rb2SnI6,9,520.0,125,cod-1010052,experimental,P0,-22.58698792,-2.5096653244444442,390.2239997482446,0.005477715555555405,4,True,78.99,False,-22.64418539,-2.516020598888889,417.29447435877125,0.00635525000000017,7,True,136.869,False,-22.64558894,-2.5161765488888888,417.29447435877125,0.0,1,False,9.68,False
E3-cod-1010052-S1,E3,complete,,Rb2SnI6,9,520.0,150,cod-1010052,experimental,S1,-20.97637574,-2.3307084155555557,330.04443047033953,0.1021202044444445,17,True,246.918,False,-22.63902234,-2.515446926666667,417.25460249538867,0.18473851888888898,22,True,392.601,False,-22.64532606,-2.51614734,417.25460249538867,0.0,1,False,24.988,False
E3-cod-1010052-S2,E3,complete,,Rb2SnI6,9,520.0,125,cod-1010052,experimental,S2,-17.12940267,-1.9032669633333335,390.2239997482446,0.2783088844444445,5,True,106.629,False,-17.21471335,-1.9127459277777779,422.46685250901686,0.009479421111111306,3,True,73.802,False,-17.21409327,-1.91267703,422.46685250901686,0.0,1,False,11.147,False
E3-cod-1010052-S3,E3,complete,,Rb2SnI6,9,520.0,125,cod-1010052,experimental,S3,-22.640962,-2.515662444444444,390.2239997482446,1.428419081111111,39,True,727.381,True,-22.7227715,-2.524752388888889,413.30031533455576,0.009089956666666725,28,True,468.341,False,-22.72380504,-2.5248672266666663,413.30031533455576,0.0,1,False,32.7,False
