cohort,rule_set,min_per_cohort,rows_on_common_support,total_weight,pass_weight,explicit_violation_weight,no_verdict_weight,known_fraction,satisfaction,explicit_violation_rate,queue_retained
experimental,L2,1,401,0.9999999999999999,0.7043530834340991,0.020556227327690448,0.27509068923821034,0.7249093107617897,0.9716430358632193,0.02055622732769045,0.9794437726723095
experimental,L4,1,401,0.9999999999999999,0.5043833131801693,0.13283094374388205,0.3627857430759486,0.6372142569240514,0.7915443003659693,0.13283094374388207,0.867169056256118
pu_negative,L2,1,426,1.0,0.2297460701330109,0.04534461910519952,0.7249093107617895,0.27509068923821045,0.8351648351648351,0.04534461910519952,0.9546553808948004
pu_negative,L4,1,426,1.0,0.007255139056831922,0.24940692117233831,0.7433379397708297,0.25666206022917026,0.02826728286352062,0.24940692117233831,0.7505930788276617
experimental,L2,5,0,0.0,0.0,0.0,0.0,,,,
experimental,L4,5,0,0.0,0.0,0.0,0.0,,,,
pu_negative,L2,5,0,0.0,0.0,0.0,0.0,,,,
pu_negative,L4,5,0,0.0,0.0,0.0,0.0,,,,
experimental,L2,10,0,0.0,0.0,0.0,0.0,,,,
experimental,L4,10,0,0.0,0.0,0.0,0.0,,,,
pu_negative,L2,10,0,0.0,0.0,0.0,0.0,,,,
pu_negative,L4,10,0,0.0,0.0,0.0,0.0,,,,
