cif_sha256,records,first_record_index,last_record_index,CLscore_A_min,CLscore_A_max,CLscore_B_min,CLscore_B_max,CLscore_jang_min,CLscore_jang_max,CLscore_A_range,CLscore_B_range,CLscore_jang_range
00049b18c8b41f610f1ef746c5ac9f3630f63dc9a0d8e055cb85bd4dc91eeaec,2,26375,102899,0.0,0.0,0.001552,0.001552,0.000137,0.000137,0.0,0.0,0.0
0095af8afea3cad0ac3cde6b3d95e0fc869717072c1bc78d1a6927cf91d3e2e4,2,18383,81022,0.0,0.0,0.002449,0.002454,0.045305,0.045305,0.0,5.00000000000023e-06,0.0
03bea3a896733909d140661dfa949a8b28c342f90ef6a3b0a5acc417d6d9d06f,2,37901,358277,1e-06,1e-06,0.00155,0.00155,0.342946,0.342946,0.0,0.0,0.0
03e2a6f134edc11921e9735f10c3d8d5a4785a366bf60eaafd1678cdb02d0045,2,35129,224746,0.0,0.0,0.000729,0.000731,0.008942,0.008942,0.0,1.99999999999994e-06,0.0
04c3428caa827ce28f8839a2c841905590513bc76ecd81024866833099fd97b1,2,37845,248740,0.0,0.0,0.003841,0.003861,0.043492,0.043492,0.0,2.0000000000000052e-05,0.0
04e63c7d3fd75dae03ce723c9d48acfdd0d5f01aa59822bb20851fd529921c12,2,51666,358629,0.0,0.0,0.00349,0.003521,0.235105,0.235105,0.0,3.099999999999978e-05,0.0
06cd9dbad1f4e4fa6b374f2c604a9d7b63aa0e44170a58ee00bad3ab1d46d787,2,46651,102905,0.0,0.0,0.000101,0.000103,0.148176,0.148176,0.0,1.9999999999999944e-06,0.0
070458bf833299528b3ffb1fa097a3de02adb82de91427d32a4037edbefb50c7,2,43858,143169,1e-06,1e-06,0.003407,0.003407,0.028051,0.028051,0.0,0.0,0.0
08fc8fc9368b3cb55e41cf2508f02fc03769fbc9e3ace3c7ef9638d5e03ddb1d,2,30578,60710,0.0,0.0,0.000404,0.000405,0.141203,0.141203,0.0,9.9999999999997e-07,0.0
0df142d992aab695f9b6ce5a4cc82e4a7c7a34017539d0f0b18fdf263146cf88,2,22652,142585,0.0,0.0,0.003676,0.003676,0.002909,0.002909,0.0,0.0,0.0
0faafffadf34dd518392dba747e78d6785fbd43f5b3e746cb7711334833892c2,2,9803,238432,2e-06,2e-06,0.002838,0.002838,0.025529,0.025529,0.0,0.0,0.0
10c5fa669fc1f3ab99557bf5f7993b7c5fab6df5c0795d069357a09f7a372424,2,11110,228077,0.0,0.0,0.001305,0.001311,0.002301,0.002301,0.0,6.000000000000146e-06,0.0
11504a2bb83f203314de0e289e322894bf6ad30dac37a918abf181b1ac62ac55,2,48593,214070,0.0,0.0,0.001373,0.001379,0.074785,0.074785,0.0,5.999999999999929e-06,0.0
119fffdccdd128faec33de90813a4f4a01b65a21efae0831e085f123f660d52a,2,13666,224296,0.0,0.0,9.3e-05,9.4e-05,0.087107,0.087107,0.0,9.999999999999972e-07,0.0
129fa3d4cfb319dc868e0f679c3c3aba0e7482a110b10165b2266578c253463e,2,50329,242567,3e-06,3e-06,0.004448,0.004464,0.332871,0.332871,0.0,1.600000000000039e-05,0.0
13de120caf0efd133a00bfdbc5b08120a242d639f8269931f07d6e98d85b332a,2,55675,76260,0.0,0.0,0.000551,0.000551,0.228987,0.228987,0.0,0.0,0.0
153ddc9c8ac5145d4980e49cad362be1613ac6f922e4b0bb8bee9786e99199dd,2,24080,81285,0.0,0.0,0.003958,0.00397,0.0,0.0,0.0,1.1999999999999858e-05,0.0
15ba282be58121fd93a9a0180ddd75a0b31c7ed99e7b919faa2a639eb4300af2,2,12663,100937,1e-06,1e-06,0.004452,0.004481,0.052933,0.052933,0.0,2.8999999999999512e-05,0.0
166535a7a1c04178fdb080c3f00f595e1cad3dc2a11bfcdd4d69f8a6a1317e8a,2,17165,136037,0.0,0.0,0.00057,0.000574,0.399446,0.399446,0.0,3.999999999999989e-06,0.0
17ce4a188cdbe3c1109ec4a13d45dbe0dfd2adbe21283403e7e5fd7153438d18,2,47298,90965,0.0,0.0,0.001974,0.001983,0.004651,0.004651,0.0,8.999999999999894e-06,0.0
181010c42e365cf670c8552ee44fc36c39937b6a9a195c5d4af9b9e720644f5e,2,18420,154643,1e-06,1e-06,0.000498,0.000501,0.004271,0.004271,0.0,3.000000000000073e-06,0.0
19c0031905497921f01e3ecbeb5a1588e6c88debcb5d586846179c423f8dbe0b,2,3812,163914,0.0,1e-06,0.000395,0.000396,0.063751,0.063751,1e-06,9.9999999999997e-07,0.0
1a2dccdaedc4012faac468a862e9ba489f6d4eb5616a01f655aa9efd6498900c,2,19705,174073,0.0,0.0,0.000299,0.000299,0.046932,0.046932,0.0,0.0,0.0
1bb7596f7b51398e5c9e23602ac6221dab2e6daa3600ac84e9e0e83b8e179173,2,24113,99367,1e-06,1e-06,0.003003,0.003003,0.033565,0.033565,0.0,0.0,0.0
1cbb0f686ab3dc236c099aad2a596e384c9dbbcc2d0a6a6a3228380d744e9e35,2,12864,195622,0.0,0.0,0.003522,0.003527,0.003899,0.003899,0.0,5.00000000000023e-06,0.0
1d1c3f2fb9a1ed06a1ee8ca84304aa13aefa21a43399f97e21040de4bc937a54,2,17700,90888,0.0,0.0,0.00419,0.004191,0.002242,0.002242,0.0,1.0000000000001327e-06,0.0
1daa35ff283aca0f66e3c85b46f2fec6142bc482acb7c5ef9cba9e95774e9eea,2,49088,152656,0.0,0.0,0.000191,0.000191,0.024647,0.024647,0.0,0.0,0.0
