cohort,unit,rule_set,total_weight,pass_weight,explicit_violation_weight,no_verdict_weight,known_fraction,satisfaction,explicit_violation_rate,queue_retained
experimental,unique_cifs,D1,99162.0,45870.0,7215.0,46077.0,0.5353361166575906,0.8640858999717435,0.0727597265081382,0.9272402734918618
experimental,unique_cifs,D2,99162.0,50973.0,164.0,48025.0,0.5156914947258022,0.9967929287991083,0.0016538593412799257,0.9983461406587201
experimental,unique_cifs,D3,99162.0,51841.0,1269.0,46052.0,0.535588229362054,0.9761061946902655,0.012797240878562353,0.9872027591214376
experimental,unique_cifs,D4,99162.0,48749.0,4630.0,45783.0,0.5383009620620802,0.9132617696097717,0.046691272866622294,0.9533087271333777
experimental,unique_cifs,D5,99162.0,50642.0,2737.0,45783.0,0.5383009620620802,0.9487251540868131,0.027601298884653395,0.9723987011153467
experimental,unique_cifs,D6,99162.0,49329.0,1817.0,48016.0,0.515782255299409,0.9644742501857427,0.018323551360400155,0.9816764486395998
experimental,unique_cifs,D7,99162.0,93382.0,5386.0,394.0,0.9960267037776568,0.9454681678276364,0.05431516104959561,0.9456848389504043
experimental,unique_cifs,D8,99162.0,37792.0,3326.0,58044.0,0.4146548072850487,0.9191108516951214,0.033541074201811176,0.9664589257981888
pu_negative,unique_cifs,D1,364592.0,13896.0,1287.0,349409.0,0.041643810067143544,0.915234143449911,0.0035299732303506384,0.9964700267696494
pu_negative,unique_cifs,D2,364592.0,15037.0,395.0,349160.0,0.04232676526089437,0.9744038361845516,0.0010834028173958836,0.9989165971826042
pu_negative,unique_cifs,D3,364592.0,10379.0,5231.0,348982.0,0.04281498222670821,0.6648942985265855,0.014347544652652828,0.9856524553473471
pu_negative,unique_cifs,D4,364592.0,16589.0,28.0,347975.0,0.045576973713082024,0.9983149786363363,7.679817439768289e-05,0.9999232018256023
pu_negative,unique_cifs,D5,364592.0,16507.0,110.0,347975.0,0.045576973713082024,0.9933802732141782,0.00030170711370518276,0.9996982928862949
pu_negative,unique_cifs,D6,364592.0,15007.0,442.0,349143.0,0.04237339272392154,0.9713897339633634,0.0012123140387062799,0.9987876859612937
pu_negative,unique_cifs,D7,364592.0,177851.0,186741.0,0.0,1.0,0.48780828981436786,0.5121917101856321,0.48780828981436786
pu_negative,unique_cifs,D8,364592.0,2042.0,3618.0,358932.0,0.015524202396103042,0.3607773851590106,0.00992342124895774,0.9900765787510423
