cohort,unit,rule_set,total_weight,pass_weight,explicit_violation_weight,no_verdict_weight,known_fraction,satisfaction,explicit_violation_rate,queue_retained
experimental,release_records,L1,99162.0,47919.0,5166.0,46077.0,0.5353361166575906,0.9026843741169822,0.052096569250317665,0.9479034307496823
experimental,release_records,L1_prime,99162.0,45563.0,5330.0,48269.0,0.5132308747302394,0.8952704694162262,0.053750428591597586,0.9462495714084024
experimental,release_records,L2,99162.0,41518.0,11624.0,46020.0,0.5359109336237672,0.7812652892250951,0.11722232306730401,0.882777676932696
experimental,release_records,L3,99162.0,38442.0,12832.0,47888.0,0.5170730723462617,0.7497367086632601,0.12940440894697566,0.8705955910530243
experimental,release_records,L4,99162.0,29952.0,19153.0,50057.0,0.4951997741070168,0.6099582527237553,0.19314858514350255,0.8068514148564975
experimental,unique_cifs,L1,99162.0,47919.0,5166.0,46077.0,0.5353361166575906,0.9026843741169822,0.052096569250317665,0.9479034307496823
experimental,unique_cifs,L1_prime,99162.0,45563.0,5330.0,48269.0,0.5132308747302394,0.8952704694162262,0.053750428591597586,0.9462495714084024
experimental,unique_cifs,L2,99162.0,41518.0,11624.0,46020.0,0.5359109336237672,0.7812652892250951,0.11722232306730401,0.882777676932696
experimental,unique_cifs,L3,99162.0,38442.0,12832.0,47888.0,0.5170730723462617,0.7497367086632601,0.12940440894697566,0.8705955910530243
experimental,unique_cifs,L4,99162.0,29952.0,19153.0,50057.0,0.4951997741070168,0.6099582527237553,0.19314858514350255,0.8068514148564975
pu_negative,release_records,L1,364771.0,14601.0,584.0,349586.0,0.041628857557207126,0.9615409944023707,0.001601004465815539,0.9983989955341844
pu_negative,release_records,L1_prime,364771.0,13101.0,979.0,350691.0,0.0385995597237719,0.93046875,0.002683875637043515,0.9973161243629565
pu_negative,release_records,L2,364771.0,8687.0,6502.0,349582.0,0.04163982334121956,0.5719270524721838,0.017824881912213417,0.9821751180877866
pu_negative,release_records,L3,364771.0,7685.0,6810.0,350276.0,0.03973725981506205,0.5301828216626423,0.018669247281170927,0.9813307527188291
pu_negative,release_records,L4,364771.0,279.0,189338.0,175154.0,0.5198247667714813,0.0014713870591771836,0.5190599033366139,0.48094009666338605
pu_negative,unique_cifs,L1,364592.0,14599.0,584.0,349409.0,0.041643810067143544,0.9615359283409076,0.0016017904945802432,0.9983982095054198
pu_negative,unique_cifs,L1_prime,364592.0,13099.0,979.0,350514.0,0.03861302497037785,0.9304588719988635,0.0026851933119761266,0.9973148066880239
pu_negative,unique_cifs,L2,364592.0,8685.0,6502.0,349405.0,0.041654781234914645,0.5718706788700862,0.017833633211919078,0.9821663667880809
pu_negative,unique_cifs,L3,364592.0,7683.0,6810.0,350099.0,0.03975128362662922,0.5301179879942041,0.01867841313029359,0.9813215868697064
pu_negative,unique_cifs,L4,364592.0,279.0,189159.0,175154.0,0.5195890200552947,0.0014727773730719286,0.5188237811032607,0.4811762188967394
