score,rule_set,score_band,n,score_min,score_median,score_max,pass_rate,explicit_violation_rate,no_verdict_rate
CLscore_A,L2,Q1,262177,0.0,0.0,1e-06,0.02147404234543839,0.015802301498605904,0.9627236561559557
CLscore_A,L2,Q2,48968,2e-06,2e-06,3e-06,0.02865136415618363,0.022055219735337365,0.9492934161084791
CLscore_A,L2,Q3,28582,4e-06,4e-06,5e-06,0.030018893009586455,0.023931145476173817,0.9460499615142397
CLscore_A,L2,Q4,24686,6e-06,7e-06,8e-06,0.032082962002754595,0.02410273029247347,0.9438143077047719
CLscore_A,L4,Q1,262177,0.0,0.0,1e-06,0.0006598595605259043,0.5345510857169011,0.4647890547225729
CLscore_A,L4,Q2,48968,2e-06,2e-06,3e-06,0.0008985459892174481,0.47784267276588793,0.5212587812448947
CLscore_A,L4,Q3,28582,4e-06,4e-06,5e-06,0.0010146245889021063,0.47229025260653557,0.5266951228045623
CLscore_A,L4,Q4,24686,6e-06,7e-06,8e-06,0.0013367900834481083,0.4834724135137325,0.5151907964028194
CLscore_B,L2,Q1,36520,4e-06,0.000196,0.000351,0.007694414019715224,0.012322015334063527,0.9799835706462212
CLscore_B,L2,Q2,36398,0.000352,0.00051,0.000674,0.013901862739710974,0.015357986702566075,0.970740150557723
CLscore_B,L2,Q3,36451,0.000675,0.000849,0.001031,0.020191489945406163,0.017694987791830128,0.9621135222627637
CLscore_B,L2,Q4,36481,0.001032,0.001224,0.001423,0.022203338724267427,0.01924289356103177,0.9585537677147008
CLscore_B,L2,Q5,36444,0.001424,0.001635,0.001855,0.02571067939852925,0.01959170233783339,0.9546976182636374
CLscore_B,L2,Q6,36375,0.001856,0.002088,0.002333,0.026006872852233676,0.019079037800687284,0.954914089347079
CLscore_B,L2,Q7,36420,0.002334,0.00259,0.002865,0.02830862163646348,0.01900054914881933,0.9526908292147171
CLscore_B,L2,Q8,36500,0.002866,0.003156,0.003464,0.02958904109589041,0.019123287671232878,0.9512876712328767
CLscore_B,L2,Q9,36398,0.003465,0.00379,0.004133,0.0314852464421122,0.018050442331996264,0.9504643112258915
CLscore_B,L2,Q10,36426,0.004134,0.004498,0.004899,0.03321803107670345,0.01896996650743974,0.9478120024158568
CLscore_B,L4,Q1,36520,4e-06,0.000196,0.000351,5.47645125958379e-05,0.4902792990142388,0.5096659364731654
CLscore_B,L4,Q2,36398,0.000352,0.00051,0.000674,0.00013737018517500962,0.5027199296664652,0.4971427001483598
CLscore_B,L4,Q3,36451,0.000675,0.000849,0.001031,0.00030177498559710294,0.5199857342734081,0.47971249074099476
CLscore_B,L4,Q4,36481,0.001032,0.001224,0.001423,0.00019188070502453331,0.5281653463446726,0.4716427729503029
CLscore_B,L4,Q5,36444,0.001424,0.001635,0.001855,0.000878059488530348,0.5257106793985292,0.4734112611129404
CLscore_B,L4,Q6,36375,0.001856,0.002088,0.002333,0.0009621993127147767,0.5262405498281787,0.4727972508591065
CLscore_B,L4,Q7,36420,0.002334,0.00259,0.002865,0.0009610104338275673,0.5250411861614498,0.4739978034047227
CLscore_B,L4,Q8,36500,0.002866,0.003156,0.003464,0.001178082191780822,0.5256438356164383,0.4731780821917808
CLscore_B,L4,Q9,36398,0.003465,0.00379,0.004133,0.001401175888785098,0.5221165998131766,0.4764822242980383
CLscore_B,L4,Q10,36426,0.004134,0.004498,0.004899,0.001592269258222149,0.5200131774007577,0.47839455334102016
CLscore_jang,L2,Q1,36443,0.0,1.5e-05,0.000228,0.000246961007600911,0.0,0.9997530389923991
