structure_formula,experimental,pu_negative
BaAs2Pt,1,2
BaCd2Pt,1,1
BaIn2Ir,2,3
BeTe,2,4
Ca(InAs)2,1,1
CaCdPt,1,1
CaSnHg,2,1
CaSnPt,1,1
CaW,1,4
CdPSe3,1,1
CdSbS2Cl,2,1
CeCdAu,1,1
CrSe,4,1
CsRe,1,2
CuBTe2,1,4
DyAs,3,1
DyAsRuO,2,2
DyScSb,1,1
DySnAu,2,1
DyZnIn,1,1
ErAgPb,1,1
ErAsPd,1,1
ErTlZn,1,1
GdZnRh,1,1
IrPb,1,2
IrSe2,3,1
K2Re,1,2
K2Tc,1,1
La2CdRh2,1,1
La4MgRu,1,1
LaCdAu,1,1
LaScSb,1,1
LuAsPt,1,1
LuTl3,1,1
MoI2,2,1
MoPRu,3,1
MoPb,1,4
NaPu,1,3
NbSeI3,1,1
NdAsRuO,1,1
NdSnAu,2,1
PCl3O,2,1
PrScSb,1,1
PrZnIn,1,2
PrZnPd,1,1
PrZnRh,1,1
ReTe2,1,1
RhPb,1,1
RhSe2,2,1
RuSe2,1,1
SmAsRuO,1,1
SmHgPd,1,2
SmInIr,1,1
SmTlCd,1,1
SmTlPd,1,1
SmTlZn,1,1
SmZnRh,1,1
SrIn2Ir,1,2
TaTe4Os,1,1
TaTe4Rh,1,1
TaTe4Ru,1,1
TbAgSn,1,1
TbAsRuO,1,1
TbZnRh,1,1
Te2W,4,1
TiAsRu,1,1
TlRe,1,18
YTlPd,1,1
YZnPd,2,1
