analysis_unit,provenance,score_model,decile,n,weight_sum,score_min,score_median,score_max,tie_with_previous_decile,tie_with_next_decile,ties_split_across_boundary,decile_definition,parse_ok_rate,n_elements_known_n,n_elements_mean,n_elements_median,n_sites_known_n,n_sites_mean,n_sites_median,L2_pass_n,L2_pass_weight,L2_pass_rate,L2_explicit_violation_n,L2_explicit_violation_weight,L2_explicit_violation_rate,L2_no_verdict_n,L2_no_verdict_weight,L2_no_verdict_rate,L4_pass_n,L4_pass_weight,L4_pass_rate,L4_explicit_violation_n,L4_explicit_violation_weight,L4_explicit_violation_rate,L4_no_verdict_n,L4_no_verdict_weight,L4_no_verdict_rate,D1_pass_n,D1_pass_weight,D1_pass_rate,D1_explicit_violation_n,D1_explicit_violation_weight,D1_explicit_violation_rate,D1_no_verdict_n,D1_no_verdict_weight,D1_no_verdict_rate,D2_pass_n,D2_pass_weight,D2_pass_rate,D2_explicit_violation_n,D2_explicit_violation_weight,D2_explicit_violation_rate,D2_no_verdict_n,D2_no_verdict_weight,D2_no_verdict_rate,D3_pass_n,D3_pass_weight,D3_pass_rate,D3_explicit_violation_n,D3_explicit_violation_weight,D3_explicit_violation_rate,D3_no_verdict_n,D3_no_verdict_weight,D3_no_verdict_rate,D4_pass_n,D4_pass_weight,D4_pass_rate,D4_explicit_violation_n,D4_explicit_violation_weight,D4_explicit_violation_rate,D4_no_verdict_n,D4_no_verdict_weight,D4_no_verdict_rate,D5_pass_n,D5_pass_weight,D5_pass_rate,D5_explicit_violation_n,D5_explicit_violation_weight,D5_explicit_violation_rate,D5_no_verdict_n,D5_no_verdict_weight,D5_no_verdict_rate,D6_pass_n,D6_pass_weight,D6_pass_rate,D6_explicit_violation_n,D6_explicit_violation_weight,D6_explicit_violation_rate,D6_no_verdict_n,D6_no_verdict_weight,D6_no_verdict_rate,D7_pass_n,D7_pass_weight,D7_pass_rate,D7_explicit_violation_n,D7_explicit_violation_weight,D7_explicit_violation_rate,D7_no_verdict_n,D7_no_verdict_weight,D7_no_verdict_rate,D8_pass_n,D8_pass_weight,D8_pass_rate,D8_explicit_violation_n,D8_explicit_violation_weight,D8_explicit_violation_rate,D8_no_verdict_n,D8_no_verdict_weight,D8_no_verdict_rate
orig_index_records,all,CLscore_A,1,810868,810868.0,0.0,0.0,3.000000106112566e-06,False,True,True,equal record count ordered by score then orig_index,1.0,810868,3.2958730644198564,3.0,810868,7.0590626341155405,6.0,31186,31186.0,0.038460020619878944,13486,13486.0,0.016631560253950087,766196,766196.0,0.944908419126171,3986,3986.0,0.0049157199445532445,443665,443665.0,0.547148241144058,363217,363217.0,0.4479360389113888,42197,42197.0,0.052039296161644065,2459,2459.0,0.0030325527706112462,766212,766212.0,0.9449281510677446,40936,40936.0,0.05048417251636518,919,919.0,0.0011333533941405999,769013,769013.0,0.9483824740894943,34759,34759.0,0.042866409822560514,10611,10611.0,0.013085977002422096,765498,765498.0,0.9440476131750174,46575,46575.0,0.05743844867475347,270,270.0,0.00033297651405654187,764023,764023.0,0.9422285748111899,46081,46081.0,0.05682922497866484,764,764.0,0.0009422002101451778,764023,764023.0,0.9422285748111899,40401,40401.0,0.04982438571999388,1485,1485.0,0.0018313708273109803,768982,768982.0,0.9483442434526952,374096,374096.0,0.46135252593517073,436772,436772.0,0.5386474740648293,0,0.0,0.0,11265,11265.0,0.013892520114247941,10182,10182.0,0.012556914318976702,789421,789421.0,0.9735505655667753
orig_index_records,all,CLscore_A,2,810868,810868.0,3.000000106112566e-06,1.9999999494757503e-05,7.899999764049426e-05,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.231771385724927,3.0,810868,7.584587133787497,7.0,56058,56058.0,0.06913332379622823,21841,21841.0,0.026935333494477524,732969,732969.0,0.9039313427092942,9725,9725.0,0.011993320737777296,396085,396085.0,0.48847037988920516,405058,405058.0,0.4995362993730176,74270,74270.0,0.09159320629251617,3571,3571.0,0.004403922709984856,733027,733027.0,0.904002870997499,70503,70503.0,0.08694756729825323,1464,1464.0,0.0018054726539954715,738901,738901.0,0.9112469600477513,62258,62258.0,0.07677945115604513,16750,16750.0,0.020656876334989173,731860,731860.0,0.9025636725089657,79888,79888.0,0.09852158427758895,892,892.0,0.0011000557427349458,730088,730088.0,0.9003783599796761,78520,78520.0,0.0968345032730358,2260,2260.0,0.002787136747288091,730088,730088.0,0.9003783599796761,69057,69057.0,0.0851642930785282,2946,2946.0,0.0036331437422613792,738865,738865.0,0.9112025631792104,430042,430042.0,0.530347726140383,380826,380826.0,0.4696522738596171,0,0.0,0.0,22144,22144.0,0.027309007138029865,14709,14709.0,0.01813982053799139,774015,774015.0,0.9545511723239788
orig_index_records,all,CLscore_A,3,810867,810867.0,7.899999764049426e-05,0.0002390000008745119,0.0006120000034570694,True,True,True,equal record count ordered by score then orig_index,1.0,810867,3.2112972904311063,3.0,810867,7.694732921675195,7.0,81852,81852.0,0.10094380459434162,29238,29238.0,0.03605770120130675,699777,699777.0,0.8629984942043516,16979,16979.0,0.02093931557209752,394615,394615.0,0.48665810792645403,399273,399273.0,0.4924025765014485,106347,106347.0,0.13115221115176717,4528,4528.0,0.00558414635199114,699992,699992.0,0.8632636424962417,100874,100874.0,0.12440264556332913,1890,1890.0,0.0023308384728938283,708103,708103.0,0.873266515963777,90435,90435.0,0.1115287710561658,22092,22092.0,0.027244911927603418,698340,698340.0,0.8612263170162308,113108,113108.0,0.13949019999580695,1622,1622.0,0.002000328043933222,696137,696137.0,0.8585094719602598,111154,111154.0,0.13708043365928074,3576,3576.0,0.004410094380459434,696137,696137.0,0.8585094719602598,98733,98733.0,0.12176226187525205,4088,4088.0,0.005041517289518503,708046,708046.0,0.8731962208352294,439764,439764.0,0.5423380159754929,371103,371103.0,0.4576619840245071,0,0.0,0.0,34376,34376.0,0.04239412875354404,18324,18324.0,0.02259803395624683,758167,758167.0,0.9350078372902091
orig_index_records,all,CLscore_A,4,810868,810868.0,0.0006120000034570694,0.0013770000077784061,0.0028059999458491802,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.18450228643873,3.0,810868,7.871304577317146,7.0,110892,110892.0,0.13675715406206682,34237,34237.0,0.04222265522871787,665739,665739.0,0.8210201907092153,26386,26386.0,0.03254043814776265,388896,388896.0,0.47960457189086264,395586,395586.0,0.4878549899613747,139549,139549.0,0.17209829466694948,5147,5147.0,0.006347518954996374,666172,666172.0,0.8215541863780541,131562,131562.0,0.16224835608261765,2294,2294.0,0.0028290671231322485,677012,677012.0,0.8349225767942501,121377,121377.0,0.14968774202459587,25335,25335.0,0.031244296235638847,664156,664156.0,0.8190679617397653,147064,147064.0,0.18136614097485657,2240,2240.0,0.00276247182032094,661564,661564.0,0.8158713872048224,144443,144443.0,0.1781338022958114,4861,4861.0,0.0059948104993661116,661564,661564.0,0.8158713872048224,128990,128990.0,0.15907644647464197,4942,4942.0,0.006094703453583074,676936,676936.0,0.834828850071775,452399,452399.0,0.5579194147506129,358469,358469.0,0.4420805852493871,0,0.0,0.0,49534,49534.0,0.0610876246195435,21384,21384.0,0.026371739913278118,739950,739950.0,0.9125406354671783
orig_index_records,all,CLscore_A,5,810867,810867.0,0.0028059999458491802,0.00531500019133091,0.009448000229895115,True,True,True,equal record count ordered by score then orig_index,1.0,810867,3.1562031751199644,3.0,810867,8.140191918033414,8.0,141598,141598.0,0.17462543179091022,36429,36429.0,0.0449259866291266,632840,632840.0,0.7804485815799632,39562,39562.0,0.04878975220350563,376245,376245.0,0.4640033445682214,395060,395060.0,0.4872069032282729,171215,171215.0,0.21115053393466499,6053,6053.0,0.007464849352606531,633599,633599.0,0.7813846167127285,162693,162693.0,0.2006407955928654,2579,2579.0,0.0031805462548112084,645595,645595.0,0.7961786581523234,154079,154079.0,0.1900175984470943,25556,25556.0,0.03151688254670618,631232,631232.0,0.7784655190061995,179910,179910.0,0.22187362415784587,2918,2918.0,0.0035986172824889902,628039,628039.0,0.7745277585596652,177002,177002.0,0.21828733935404943,5826,5826.0,0.007184902086285421,628039,628039.0,0.7745277585596652,159642,159642.0,0.19687815634376538,5724,5724.0,0.007059110803621309,645501,645501.0,0.7960627328526133,470258,470258.0,0.5799446765005851,340609,340609.0,0.4200553234994148,0,0.0,0.0,68205,68205.0,0.08411367092260506,23526,23526.0,0.029013389372116512,719136,719136.0,0.8868729397052785
orig_index_records,all,CLscore_A,6,810868,810868.0,0.009448000229895115,0.016076000407338142,0.0265050008893013,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.1242162719456186,3.0,810868,8.478320762442223,8.0,173186,173186.0,0.21358100208665282,36654,36654.0,0.045203411652698096,601028,601028.0,0.7412155862606491,55316,55316.0,0.06821825500574692,357420,357420.0,0.44078690982996,398132,398132.0,0.4909948351642931,202038,202038.0,0.2491626257294652,6842,6842.0,0.008437871515462443,601988,601988.0,0.7423995027550724,192841,192841.0,0.2378204590636207,2894,2894.0,0.003569014932146786,615133,615133.0,0.7586105260042325,187089,187089.0,0.230726826067868,24302,24302.0,0.029970352757785486,599477,599477.0,0.7393028211743465,211752,211752.0,0.2611423807574106,3238,3238.0,0.003993251675981788,595878,595878.0,0.7348643675666077,208518,208518.0,0.25715406206682223,6472,6472.0,0.007981570366570144,595878,595878.0,0.7348643675666077,189075,189075.0,0.23317605331570612,6748,6748.0,0.008321946358716832,615045,615045.0,0.758502000325577,491951,491951.0,0.6066967743208512,318917,318917.0,0.39330322567914877,0,0.0,0.0,89594,89594.0,0.11049147333474746,24695,24695.0,0.030455018572690007,696579,696579.0,0.8590535080925625
orig_index_records,all,CLscore_A,7,810868,810868.0,0.0265050008893013,0.042862001806497574,0.06856200098991394,True,True,True,equal record count ordered by score then orig_index,1.0,810868,3.0969886590665805,3.0,810868,8.98661927712032,8.0,209182,209182.0,0.25797293764213164,35302,35302.0,0.04353606258971867,566384,566384.0,0.6984909997681497,74448,74448.0,0.09181272414252381,334772,334772.0,0.4128563465323579,401648,401648.0,0.49533092932511824,235676,235676.0,0.2906465663955169,7756,7756.0,0.009565058677861255,567436,567436.0,0.6997883749266218,226457,226457.0,0.27927726831000854,3089,3089.0,0.0038094979700765107,581322,581322.0,0.716913233719915,224642,224642.0,0.27703892618773956,20997,20997.0,0.02589447357646374,565229,565229.0,0.6970666002357967,245369,245369.0,0.30260042325014674,4060,4060.0,0.005006980174331704,561439,561439.0,0.6923925965755215,242243,242243.0,0.298745295165181,7186,7186.0,0.008862108259297443,561439,561439.0,0.6923925965755215,220878,220878.0,0.2723969869325217,8763,8763.0,0.01080693775065732,581227,581227.0,0.716796075316821,517143,517143.0,0.6377647163286749,293725,293725.0,0.36223528367132507,0,0.0,0.0,115010,115010.0,0.14183566252460325,25652,25652.0,0.031635235328068195,670206,670206.0,0.8265291021473286
orig_index_records,all,CLscore_A,8,810867,810867.0,0.06856200098991394,0.10844200104475021,0.17000499367713928,True,True,True,equal record count ordered by score then orig_index,1.0,810867,3.094019117808469,3.0,810867,9.527779524878927,8.0,247832,247832.0,0.3056382859334515,36076,36076.0,0.04449065013127924,526959,526959.0,0.6498710639352693,96767,96767.0,0.11933769656429476,308364,308364.0,0.3802892459552553,405736,405736.0,0.5003730574804499,273947,273947.0,0.33784455403907176,8900,8900.0,0.010975906036378345,528020,528020.0,0.6511795399245499,262854,262854.0,0.324164135425415,3057,3057.0,0.0037700387363155735,544956,544956.0,0.6720658258382695,265270,265270.0,0.3271436622775375,19422,19422.0,0.023952140116689915,526175,526175.0,0.6489041976057726,282891,282891.0,0.34887472298169736,5390,5390.0,0.006647206015289807,522586,522586.0,0.6444780710030128,280241,280241.0,0.345606616128169,8040,8040.0,0.00991531286881819,522586,522586.0,0.6444780710030128,255097,255097.0,0.3145978317035963,10904,10904.0,0.013447334766367357,544866,544866.0,0.6719548335300364,547475,547475.0,0.6751723772209253,263392,263392.0,0.32482762277907473,0,0.0,0.0,144612,144612.0,0.1783424408688478,26506,26506.0,0.032688468022499376,639749,639749.0,0.7889690911086529
orig_index_records,all,CLscore_A,9,810868,810868.0,0.17000499367713928,0.2648580074310303,0.4113270044326782,True,False,True,equal record count ordered by score then orig_index,1.0,810868,3.109951311434167,3.0,810868,10.341873153213593,8.0,294605,294605.0,0.3633205404578797,38577,38577.0,0.047574944380589686,477686,477686.0,0.5891045151615306,127870,127870.0,0.15769521056448152,278990,278990.0,0.34406339872827635,404008,404008.0,0.4982413907072421,321322,321322.0,0.3962691831469487,10830,10830.0,0.013356057952712401,478716,478716.0,0.5903747589003389,308098,308098.0,0.3799607334362683,2593,2593.0,0.00319780778129116,500177,500177.0,0.6168414587824406,314467,314467.0,0.3878152794289576,19068,19068.0,0.023515541370482004,477333,477333.0,0.5886691792005604,330137,330137.0,0.4071402497077206,6841,6841.0,0.008436638269114085,473890,473890.0,0.5844231120231653,328832,328832.0,0.405530863223114,8146,8146.0,0.010046024753720705,473890,473890.0,0.5844231120231653,297370,297370.0,0.3667304666110884,13396,13396.0,0.016520568082597907,500102,500102.0,0.6167489653063137,581872,581872.0,0.7175915192115117,228996,228996.0,0.2824084807884884,0,0.0,0.0,184906,184906.0,0.22803464928940345,25883,25883.0,0.03192011523453879,600079,600079.0,0.7400452354760577
orig_index_records,all,CLscore_A,10,810867,810867.0,0.411327987909317,0.6387249827384949,0.9999989867210388,False,False,False,equal record count ordered by score then orig_index,1.0,810867,3.1784250684760877,3.0,810867,15.10775873231985,10.0,378657,378657.0,0.46697793842886687,49937,49937.0,0.061584698847036566,382273,382273.0,0.47143736272409653,206915,206915.0,0.25517748286710396,234078,234078.0,0.2886761947397045,369874,369874.0,0.4561463223931915,408406,408406.0,0.5036658292913634,19389,19389.0,0.023911442937004465,383072,383072.0,0.4724227277716321,397731,397731.0,0.4905009082870557,1863,1863.0,0.0022975407804239167,411273,411273.0,0.5072015509325204,409544,409544.0,0.5050692653665768,19112,19112.0,0.023569833277220554,382211,382211.0,0.4713609013562027,419179,419179.0,0.5169516085868583,12178,12178.0,0.015018492551799493,379510,379510.0,0.4680298988613422,422233,422233.0,0.520717947579566,9124,9124.0,0.011252153559091689,379510,379510.0,0.4680298988613422,379464,379464.0,0.46797316945935646,20209,20209.0,0.02492270618979438,411194,411194.0,0.5071041243508492,638576,638576.0,0.7875224913580156,172291,172291.0,0.21247750864198445,0,0.0,0.0,278561,278561.0,0.34353475970781894,21951,21951.0,0.027071023978038324,510355,510355.0,0.6293942163141427
