analysis_unit,provenance,score_model,decile,n,weight_sum,score_min,score_median,score_max,tie_with_previous_decile,tie_with_next_decile,ties_split_across_boundary,decile_definition,parse_ok_rate,n_elements_known_n,n_elements_mean,n_elements_median,n_sites_known_n,n_sites_mean,n_sites_median,L2_pass_n,L2_pass_weight,L2_pass_rate,L2_explicit_violation_n,L2_explicit_violation_weight,L2_explicit_violation_rate,L2_no_verdict_n,L2_no_verdict_weight,L2_no_verdict_rate,L4_pass_n,L4_pass_weight,L4_pass_rate,L4_explicit_violation_n,L4_explicit_violation_weight,L4_explicit_violation_rate,L4_no_verdict_n,L4_no_verdict_weight,L4_no_verdict_rate,D1_pass_n,D1_pass_weight,D1_pass_rate,D1_explicit_violation_n,D1_explicit_violation_weight,D1_explicit_violation_rate,D1_no_verdict_n,D1_no_verdict_weight,D1_no_verdict_rate,D2_pass_n,D2_pass_weight,D2_pass_rate,D2_explicit_violation_n,D2_explicit_violation_weight,D2_explicit_violation_rate,D2_no_verdict_n,D2_no_verdict_weight,D2_no_verdict_rate,D3_pass_n,D3_pass_weight,D3_pass_rate,D3_explicit_violation_n,D3_explicit_violation_weight,D3_explicit_violation_rate,D3_no_verdict_n,D3_no_verdict_weight,D3_no_verdict_rate,D4_pass_n,D4_pass_weight,D4_pass_rate,D4_explicit_violation_n,D4_explicit_violation_weight,D4_explicit_violation_rate,D4_no_verdict_n,D4_no_verdict_weight,D4_no_verdict_rate,D5_pass_n,D5_pass_weight,D5_pass_rate,D5_explicit_violation_n,D5_explicit_violation_weight,D5_explicit_violation_rate,D5_no_verdict_n,D5_no_verdict_weight,D5_no_verdict_rate,D6_pass_n,D6_pass_weight,D6_pass_rate,D6_explicit_violation_n,D6_explicit_violation_weight,D6_explicit_violation_rate,D6_no_verdict_n,D6_no_verdict_weight,D6_no_verdict_rate,D7_pass_n,D7_pass_weight,D7_pass_rate,D7_explicit_violation_n,D7_explicit_violation_weight,D7_explicit_violation_rate,D7_no_verdict_n,D7_no_verdict_weight,D7_no_verdict_rate,D8_pass_n,D8_pass_weight,D8_pass_rate,D8_explicit_violation_n,D8_explicit_violation_weight,D8_explicit_violation_rate,D8_no_verdict_n,D8_no_verdict_weight,D8_no_verdict_rate
orig_index_records_within_provenance,lemat,CLscore_A,1,610319,610319.0,0.0,0.0,6.000000212225132e-06,False,True,True,equal record count ordered by score then orig_index,1.0,610319,3.440630227798905,3.0,610319,6.465258332118122,4.0,32125,32125.0,0.05263640817343061,14247,14247.0,0.02334353018667287,563947,563947.0,0.9240200616398965,4222,4222.0,0.006917693861734601,432637,432637.0,0.7088702793129494,173460,173460.0,0.28421202682531593,43732,43732.0,0.07165433158725192,2631,2631.0,0.004310860386125944,563956,563956.0,0.9240348080266222,43101,43101.0,0.07062044602904383,860,860.0,0.0014090991760046796,566358,566358.0,0.9279704547949514,35642,35642.0,0.05839896840832417,11481,11481.0,0.018811473999662473,563196,563196.0,0.9227895575920133,48620,48620.0,0.07966325806668316,141,141.0,0.00023102672536820908,561558,561558.0,0.9201057152079486,48291,48291.0,0.07912419570749067,470,470.0,0.0007700890845606969,561558,561558.0,0.9201057152079486,42901,42901.0,0.07029274854625205,1094,1094.0,0.001792505230871069,566324,566324.0,0.9279147462228768,183887,183887.0,0.3012965350906657,426432,426432.0,0.6987034649093343,0,0.0,0.0,12140,12140.0,0.019891237205461407,10915,10915.0,0.01788409012336172,587264,587264.0,0.9622246726711768
orig_index_records_within_provenance,lemat,CLscore_A,2,610318,610318.0,6.000000212225132e-06,3.5000000934815034e-05,0.0001320000010309741,True,True,True,equal record count ordered by score then orig_index,1.0,610318,3.358942387411153,3.0,610318,7.262038805999495,5.0,54995,54995.0,0.09010876297274535,21147,21147.0,0.03464915011518585,534176,534176.0,0.8752420869120688,10426,10426.0,0.017082897768048787,369286,369286.0,0.6050714545532001,230606,230606.0,0.37784564767875106,72556,72556.0,0.11888228759433607,3548,3548.0,0.005813362869848178,534214,534214.0,0.8753043495358157,70448,70448.0,0.11542835046647813,1179,1179.0,0.00193177982625451,538691,538691.0,0.8826398697072674,60429,60429.0,0.0990123181685613,16916,16916.0,0.027716698507990915,532973,532973.0,0.8732709833234478,78732,78732.0,0.12900160244331643,497,497.0,0.0008143295790063541,531089,531089.0,0.8701840679776772,78002,78002.0,0.12780550467133528,1227,1227.0,0.002010427350987518,531089,531089.0,0.8701840679776772,70083,70083.0,0.11483030158048754,1590,1590.0,0.002605199256780891,538645,538645.0,0.8825644991627316,254208,254208.0,0.4165172909860106,356110,356110.0,0.5834827090139895,0,0.0,0.0,23262,23262.0,0.03811455667373402,14733,14733.0,0.024139874622737655,572323,572323.0,0.9377455687035283
orig_index_records_within_provenance,lemat,CLscore_A,3,610318,610318.0,0.0001320000010309741,0.000387999985832721,0.0009549999958835542,True,True,True,equal record count ordered by score then orig_index,1.0,610318,3.31797358098565,3.0,610318,7.521909889598537,5.0,76454,76454.0,0.12526912199869575,26368,26368.0,0.043203706919999085,507496,507496.0,0.8315271710813051,17410,17410.0,0.028526112616701457,349564,349564.0,0.5727571528285255,243344,243344.0,0.3987167345547731,98587,98587.0,0.1615338233511055,4137,4137.0,0.00677843353792613,507594,507594.0,0.8316877431109684,94744,94744.0,0.15523710590216902,1405,1405.0,0.0023020785885390894,514169,514169.0,0.8424608155092919,83347,83347.0,0.13656323424837544,21024,21024.0,0.03444761583305752,505947,505947.0,0.8289891499185671,105597,105597.0,0.17301963894232186,887,887.0,0.0014533407174620444,503834,503834.0,0.8255270203402161,104729,104729.0,0.17159742953673332,1755,1755.0,0.0028755501230506063,503834,503834.0,0.8255270203402161,94137,94137.0,0.1542425424123162,2075,2075.0,0.003399866954603993,514106,514106.0,0.8423575906330798,280738,280738.0,0.4599864333019836,329580,329580.0,0.5400135666980165,0,0.0,0.0,34532,34532.0,0.056580340085004864,17483,17483.0,0.028645722393899575,558303,558303.0,0.9147739375210956
orig_index_records_within_provenance,lemat,CLscore_A,4,610318,610318.0,0.0009549999958835542,0.0020639998838305473,0.004050999879837036,True,True,True,equal record count ordered by score then orig_index,1.0,610318,3.280865057232459,3.0,610318,7.827458800166471,5.0,99256,99256.0,0.1626299732270718,28484,28484.0,0.046670751968645854,482578,482578.0,0.7906992748042824,26597,26597.0,0.043578921152579476,331859,331859.0,0.5437476856327357,251862,251862.0,0.4126733932146848,122944,122944.0,0.20144252668281126,4649,4649.0,0.007617340468411549,482725,482725.0,0.7909401328487772,117524,117524.0,0.19256191034837578,1643,1643.0,0.002692039232006921,491151,491151.0,0.8047460504196173,107363,107363.0,0.17591321245645714,22166,22166.0,0.03631877152566367,480789,480789.0,0.7877680160178792,130696,130696.0,0.21414410192719205,1093,1093.0,0.0017908696777745373,478529,478529.0,0.7840650283950334,129567,129567.0,0.21229424660586776,2222,2222.0,0.0036407249990988303,478529,478529.0,0.7840650283950334,116781,116781.0,0.19134451220511275,2447,2447.0,0.004009385271284805,491090,491090.0,0.8046461025236025,303221,303221.0,0.4968246061889048,307097,307097.0,0.5031753938110952,0,0.0,0.0,48250,48250.0,0.07905714725765912,19403,19403.0,0.0317916233832199,542665,542665.0,0.8891512293591209
orig_index_records_within_provenance,lemat,CLscore_A,5,610318,610318.0,0.004050999879837036,0.007385999895632267,0.012746999971568584,True,True,True,equal record count ordered by score then orig_index,1.0,610318,3.248580248329559,3.0,610318,8.225126901058136,6.0,122911,122911.0,0.2013884565095573,28485,28485.0,0.04667239045874446,458922,458922.0,0.7519391530316982,39284,39284.0,0.06436644503357267,309432,309432.0,0.5070012681913363,261602,261602.0,0.428632286775091,145950,145950.0,0.23913762989130258,5183,5183.0,0.008492294181066264,459185,459185.0,0.7523700759276312,139866,139866.0,0.2291690561313938,1847,1847.0,0.003026291212122205,468605,468605.0,0.767804652656484,132095,132095.0,0.21643634957513952,21225,21225.0,0.03477695234287699,456998,456998.0,0.7487866980819835,154428,154428.0,0.2530287489472701,1336,1336.0,0.0021890227717353905,454554,454554.0,0.7447822282809945,153277,153277.0,0.2511428468437765,2487,2487.0,0.004074924875228979,454554,454554.0,0.7447822282809945,138842,138842.0,0.22749124227042297,2961,2961.0,0.004851569181967433,468515,468515.0,0.7676571885476096,328799,328799.0,0.5387339059310065,281519,281519.0,0.46126609406899355,0,0.0,0.0,65092,65092.0,0.10665259749835332,20409,20409.0,0.03343994442241586,524817,524817.0,0.8599074580792309
orig_index_records_within_provenance,lemat,CLscore_A,6,610318,610318.0,0.012746999971568584,0.021105000749230385,0.0341080017387867,True,True,True,equal record count ordered by score then orig_index,1.0,610318,3.2118354693782587,3.0,610318,8.67999632978218,7.0,146865,146865.0,0.24063684833152554,26610,26610.0,0.04360022152386133,436843,436843.0,0.7157629301446131,53175,53175.0,0.08712671099328546,285233,285233.0,0.46735144629521,271910,271910.0,0.44552184271150447,167499,167499.0,0.2744454530261274,5691,5691.0,0.009324647151157266,437128,437128.0,0.7162298998227153,161380,161380.0,0.2644195321127674,2105,2105.0,0.0034490216575621233,446833,446833.0,0.7321314462296704,156943,156943.0,0.25714955154526004,18378,18378.0,0.030112171032150453,434997,434997.0,0.7127382774225896,176240,176240.0,0.28876749497802784,1608,1608.0,0.002634692078555769,432470,432470.0,0.7085978129434164,175079,175079.0,0.2868652079735482,2769,2769.0,0.0045369790830354015,432470,432470.0,0.7085978129434164,159764,159764.0,0.26177173211342286,3810,3810.0,0.006242647275682513,446744,446744.0,0.7319856206108947,354523,354523.0,0.5808824252275043,255795,255795.0,0.41911757477249567,0,0.0,0.0,83210,83210.0,0.13633876110486665,21334,21334.0,0.03495554776362486,505774,505774.0,0.8287056911315085
orig_index_records_within_provenance,lemat,CLscore_A,7,610318,610318.0,0.0341080017387867,0.05428500100970268,0.0852229967713356,True,True,True,equal record count ordered by score then orig_index,1.0,610318,3.1933205312640296,3.0,610318,9.33719143135218,8.0,172555,172555.0,0.2827296589646709,24201,24201.0,0.03965309887632349,413562,413562.0,0.6776172421590057,70484,70484.0,0.11548733611002789,255954,255954.0,0.4193780946981737,283880,283880.0,0.46513456919179835,190101,190101.0,0.3114786062347825,6321,6321.0,0.010356895913277996,413896,413896.0,0.6781644978519394,184355,184355.0,0.30206384212820203,2274,2274.0,0.003725926484226256,423689,423689.0,0.6942102313875718,183426,183426.0,0.3005416848265986,14723,14723.0,0.02412348972175161,412169,412169.0,0.6753348254516498,198420,198420.0,0.325109205365072,2193,2193.0,0.0035932087862393046,409705,409705.0,0.6712975858486887,197577,197577.0,0.32372795821194855,3036,3036.0,0.004974455939362759,409705,409705.0,0.6712975858486887,181792,181792.0,0.2978643920054791,4922,4922.0,0.008064648265330533,423604,423604.0,0.6940709597291903,384788,384788.0,0.6304713280617645,225530,225530.0,0.36952867193823546,0,0.0,0.0,104442,104442.0,0.17112718287843387,21607,21607.0,0.035402855560543844,484269,484269.0,0.7934699615610223
orig_index_records_within_provenance,lemat,CLscore_A,8,610318,610318.0,0.0852229967713356,0.1320739984512329,0.20260800421237946,True,False,True,equal record count ordered by score then orig_index,1.0,610318,3.193844848095583,3.0,610318,9.977446183792711,8.0,200761,200761.0,0.3289449106859047,24021,24021.0,0.039358170658574713,385536,385536.0,0.6316969186555206,89936,89936.0,0.14735924550807938,227437,227437.0,0.37265327255627395,292945,292945.0,0.47998748193564666,217206,217206.0,0.355889880357453,7200,7200.0,0.011797128709951206,385912,385912.0,0.6323129909325957,210460,210460.0,0.3448366261522682,2203,2203.0,0.003609593687225348,397655,397655.0,0.6515537801605065,213058,213058.0,0.34909342342844224,12790,12790.0,0.020956288361149433,384470,384470.0,0.6299502882104083,224753,224753.0,0.3682555651316199,3269,3269.0,0.0053562241323375686,382296,382296.0,0.6263882107360426,224459,224459.0,0.3677738490426302,3563,3563.0,0.005837940221327243,382296,382296.0,0.6263882107360426,206293,206293.0,0.3380090379113839,6442,6442.0,0.01055515321520912,397583,397583.0,0.651435808873407,416866,416866.0,0.6830308134447943,193452,193452.0,0.3169691865552057,0,0.0,0.0,128839,128839.0,0.2111014258140838,22101,22101.0,0.036212269669254386,459378,459378.0,0.7526863045166619
orig_index_records_within_provenance,lemat,CLscore_A,9,610318,610318.0,0.20260900259017944,0.3071489930152893,0.4621730148792267,False,True,True,equal record count ordered by score then orig_index,1.0,610318,3.2146471183874636,3.0,610318,10.927642638755534,10.0,236012,236012.0,0.3867033251518061,25920,25920.0,0.04246966335582434,348386,348386.0,0.5708270114923696,117041,117041.0,0.19177051963074987,198153,198153.0,0.3246717285087446,295124,295124.0,0.4835577518605055,252794,252794.0,0.41420046598658405,8815,8815.0,0.014443290219197205,348709,348709.0,0.5713562437942188,244352,244352.0,0.40036833257416626,1837,1837.0,0.0030099063111361617,364129,364129.0,0.5966217611146976,250233,250233.0,0.4100042928440583,12399,12399.0,0.020315638732595138,347686,347686.0,0.5696800684233465,260389,260389.0,0.42664479828548396,4199,4199.0,0.006880019924039599,345730,345730.0,0.5664751817904764,260814,260814.0,0.4273411565773908,3774,3774.0,0.006183661632132757,345730,345730.0,0.5664751817904764,237883,237883.0,0.3897689401262948,8361,8361.0,0.013699415714430837,364074,364074.0,0.5965316441592744,450051,450051.0,0.7374041073669791,160267,160267.0,0.2625958926330208,0,0.0,0.0,161475,161475.0,0.26457518867213486,20887,20887.0,0.03422314268954873,427956,427956.0,0.7012016686383165
orig_index_records_within_provenance,lemat,CLscore_A,10,610318,610318.0,0.4621730148792267,0.6884784996509552,0.9999989867210388,True,False,True,equal record count ordered by score then orig_index,1.0,610318,3.275849639040631,3.0,610318,16.723183651801193,12.0,295333,295333.0,0.4839001962911138,35043,35043.0,0.057417608525391683,279942,279942.0,0.4586821951834945,177874,177874.0,0.29144478779914734,160722,160722.0,0.26334140562788577,271722,271722.0,0.4452138065729669,314736,314736.0,0.5156918196743338,15320,15320.0,0.0251016683106184,280262,280262.0,0.4592065120150479,309563,309563.0,0.5072159103942535,1341,1341.0,0.002197215222228412,299414,299414.0,0.4905868743835181,318545,318545.0,0.5219328284599176,12109,12109.0,0.01984047660399988,279664,279664.0,0.4582266949360825,323499,323499.0,0.5300499084084035,8791,8791.0,0.0144039664568307,278028,278028.0,0.45554612513476583,326828,326828.0,0.5355044419466574,5462,5462.0,0.008949432918576873,278028,278028.0,0.45554612513476583,296788,296788.0,0.4862841993845831,14176,14176.0,0.02322723563781504,299354,299354.0,0.49048856497760185,496787,496787.0,0.8139805806153514,113531,113531.0,0.18601941938464867,0,0.0,0.0,232566,232566.0,0.38105708827201556,17377,17377.0,0.028472042443447514,360375,360375.0,0.590470869284537
orig_index_records_within_provenance,elementa,CLscore_A,1,200550,200550.0,0.0,0.0,9.999999974752427e-07,False,True,True,equal record count ordered by score then orig_index,1.0,200550,2.989164796808776,3.0,200550,8.448167539267017,8.0,2649,2649.0,0.013208676140613313,878,878.0,0.004377960608327101,197023,197023.0,0.9824133632510595,360,360.0,0.0017950635751682873,39229,39229.0,0.1956070805285465,160961,160961.0,0.8025978558962852,3411,3411.0,0.01700822737471952,110,110.0,0.0005484916479680877,197029,197029.0,0.9824432809773124,2809,2809.0,0.01400648217402144,118,118.0,0.0005883819496384942,197623,197623.0,0.98540513587634,3042,3042.0,0.015168287210172026,517,517.0,0.0025779107454500126,196991,196991.0,0.982253802044378,3445,3445.0,0.01717776115681875,130,130.0,0.0006482174021441037,196975,196975.0,0.9821740214410372,3278,3278.0,0.016345051109449015,297,297.0,0.001480927449513837,196975,196975.0,0.9821740214410372,2546,2546.0,0.012695088506606831,381,381.0,0.001899775617053104,197623,197623.0,0.98540513587634,162540,162540.0,0.8104712041884817,38010,38010.0,0.18952879581151832,0,0.0,0.0,688,688.0,0.003430565943654949,542,542.0,0.0027025679381700324,199320,199320.0,0.993866866118175
orig_index_records_within_provenance,elementa,CLscore_A,2,200549,200549.0,9.999999974752427e-07,4.999999873689376e-06,1.8000000636675395e-05,True,True,True,equal record count ordered by score then orig_index,1.0,200549,2.962089065515161,3.0,200549,8.37048302409885,8.0,5054,5054.0,0.02520082373883689,1861,1861.0,0.00927952769647318,193634,193634.0,0.96551964856469,657,657.0,0.0032760073597973565,43586,43586.0,0.21733341976275125,156306,156306.0,0.7793905728774514,6644,6644.0,0.03312906072830082,262,262.0,0.0013064138938613506,193643,193643.0,0.9655645253778379,5597,5597.0,0.027908391465427403,242,242.0,0.001206687642421553,194710,194710.0,0.9708849208921511,5853,5853.0,0.029184887483856812,1127,1127.0,0.005619574268632604,193569,193569.0,0.9651955382475106,6797,6797.0,0.03389196655181527,232,232.0,0.001156824516701654,193520,193520.0,0.9649512089314831,6432,6432.0,0.03207196246303896,597,597.0,0.002976828605477963,193520,193520.0,0.9649512089314831,4981,4981.0,0.024836822921081633,858,858.0,0.004278256186767324,194710,194710.0,0.9708849208921511,159372,159372.0,0.7946786072231724,41177,41177.0,0.20532139277682762,0,0.0,0.0,1417,1417.0,0.007065604914509671,1008,1008.0,0.005026203072565807,198124,198124.0,0.9879081920129246
orig_index_records_within_provenance,elementa,CLscore_A,3,200550,200550.0,1.8000000636675395e-05,5.900000178371556e-05,0.00015999999595806003,True,True,True,equal record count ordered by score then orig_index,1.0,200550,2.9395661929693344,3.0,200550,8.320513587634007,8.0,9334,9334.0,0.04654200947394665,3487,3487.0,0.017387185240588382,187729,187729.0,0.9360708052854649,1246,1246.0,0.006212914485165794,48120,48120.0,0.2399401645474944,151184,151184.0,0.7538469209673399,12283,12283.0,0.0612465719272002,483,483.0,0.0024083769633507853,187784,187784.0,0.936345051109449,10478,10478.0,0.05224632261281476,423,423.0,0.0021091997008227375,189649,189649.0,0.9456444776863625,10907,10907.0,0.0543854400398903,1964,1964.0,0.009793069060084767,187679,187679.0,0.935821490900025,12466,12466.0,0.06215906257791075,519,519.0,0.002587883320867614,187565,187565.0,0.9352530541012216,11680,11680.0,0.058239840438793315,1305,1305.0,0.006507105459985041,187565,187565.0,0.9352530541012216,9363,9363.0,0.04668661181750187,1538,1538.0,0.007668910496135627,189649,189649.0,0.9456444776863625,156578,156578.0,0.7807429568686113,43972,43972.0,0.2192570431313887,0,0.0,0.0,2690,2690.0,0.013413113936674145,1698,1698.0,0.008466716529543755,196162,196162.0,0.9781201695337821
orig_index_records_within_provenance,elementa,CLscore_A,4,200549,200549.0,0.00015999999595806003,0.00038499999209307134,0.0008539999835193157,True,True,True,equal record count ordered by score then orig_index,1.0,200549,2.9123605702347057,3.0,200549,8.264449087255484,8.0,13961,13961.0,0.06961390981755082,4974,4974.0,0.024801918733077702,181614,181614.0,0.9055841714493714,2093,2093.0,0.010436352213174835,52131,52131.0,0.25994146069040486,146325,146325.0,0.7296221870964203,18115,18115.0,0.09032705224159682,651,651.0,0.003246089484365417,181783,181783.0,0.9064268582740378,15994,15994.0,0.07975108327640626,553,553.0,0.002757430852310408,184002,184002.0,0.9174914858712834,16146,16146.0,0.08050900278734872,2784,2784.0,0.013881894200419848,181619,181619.0,0.9056091030122314,18366,18366.0,0.09157861669716628,839,839.0,0.004183516247899516,181344,181344.0,0.9042378670549343,17239,17239.0,0.08595904242853368,1966,1966.0,0.00980309051653212,181344,181344.0,0.9042378670549343,14539,14539.0,0.07249599848416098,2010,2010.0,0.010022488269699674,184000,184000.0,0.9174815132461394,154060,154060.0,0.7681913148407621,46489,46489.0,0.2318086851592379,0,0.0,0.0,4209,4209.0,0.020987389615505437,2226,2226.0,0.01109953178524949,194114,194114.0,0.967913078599245
orig_index_records_within_provenance,elementa,CLscore_A,5,200550,200550.0,0.0008539999835193157,0.001753999968059361,0.0034199999645352364,True,True,True,equal record count ordered by score then orig_index,1.0,200550,2.880877586636749,3.0,200550,8.261520817751185,8.0,19626,19626.0,0.09786088257292445,6462,6462.0,0.03222139117427075,174462,174462.0,0.8699177262528048,3106,3106.0,0.015487409623535278,56372,56372.0,0.28108701072051856,141072,141072.0,0.7034255796559461,25041,25041.0,0.12486163051608078,741,741.0,0.0036948391922213913,174768,174768.0,0.8714435302916979,22195,22195.0,0.11067065569683371,746,746.0,0.003719770630765395,177609,177609.0,0.8856095736724009,22426,22426.0,0.1118224881575667,3553,3553.0,0.017716280229369236,174571,174571.0,0.8704612316130641,25174,25174.0,0.12552480678135128,1241,1241.0,0.00618798304662179,174135,174135.0,0.8682872101720269,23701,23701.0,0.11818000498628771,2714,2714.0,0.013532784841685365,174135,174135.0,0.8682872101720269,20316,20316.0,0.10130142109199701,2638,2638.0,0.013153826975816504,177596,177596.0,0.8855447519321865,151304,151304.0,0.7544452754923959,49246,49246.0,0.2455547245076041,0,0.0,0.0,6092,6092.0,0.03037646472201446,2682,2682.0,0.013373223635003739,191776,191776.0,0.9562503116429818
orig_index_records_within_provenance,elementa,CLscore_A,6,200549,200549.0,0.0034199999645352364,0.006308999843895435,0.011158999986946583,True,False,True,equal record count ordered by score then orig_index,1.0,200549,2.8444818971922072,3.0,200549,8.236615490478636,8.0,26283,26283.0,0.1310552533296102,8002,8002.0,0.03990047320106308,166264,166264.0,0.8290442734693267,4419,4419.0,0.022034515255623315,60413,60413.0,0.3012381014116251,135717,135717.0,0.6767273833327516,32712,32712.0,0.16311225685493322,1014,1014.0,0.005056120947997746,166823,166823.0,0.8318316221970691,29869,29869.0,0.14893617021276595,803,803.0,0.00400400899530788,169877,169877.0,0.8470598207919262,29915,29915.0,0.1491655405910775,4041,4041.0,0.020149689103411136,166593,166593.0,0.8306847703055114,33144,33144.0,0.16526634388603284,1643,1643.0,0.008192511555779386,165762,165762.0,0.8265411445581877,31321,31321.0,0.15617629606729527,3466,3466.0,0.01728255937451695,165762,165762.0,0.8265411445581877,27734,27734.0,0.13829039287156755,2943,2943.0,0.01467471789936624,169872,169872.0,0.8470348892290662,148497,148497.0,0.7404524580027824,52052,52052.0,0.25954754199721763,0,0.0,0.0,8586,8586.0,0.042812479743105175,3206,3206.0,0.01598611810579958,188757,188757.0,0.9412014021510953
orig_index_records_within_provenance,elementa,CLscore_A,7,200550,200550.0,0.01116000022739172,0.01919100061058998,0.03232700005173683,False,True,True,equal record count ordered by score then orig_index,1.0,200550,2.802777362253802,3.0,200550,8.28727998005485,8.0,34265,34265.0,0.17085514834205934,9556,9556.0,0.04764896534530042,156729,156729.0,0.7814958863126402,6058,6058.0,0.030206930939915232,65048,65048.0,0.3243480428820743,129444,129444.0,0.6454450261780105,41804,41804.0,0.20844677137870854,1314,1314.0,0.006551982049364248,157432,157432.0,0.7850012465719272,38801,38801.0,0.19347294938917975,845,845.0,0.004213413113936674,160904,160904.0,0.8023136374968836,38565,38565.0,0.19229618548990277,4904,4904.0,0.02445275492395911,157081,157081.0,0.7832510595861382,42725,42725.0,0.2130391423585141,1886,1886.0,0.009404138618798305,155939,155939.0,0.7775567190226876,40530,40530.0,0.20209424083769634,4081,4081.0,0.020349040139616057,155939,155939.0,0.7775567190226876,36131,36131.0,0.1801595612066816,3521,3521.0,0.01755671902268761,160898,160898.0,0.8022837197706307,145248,145248.0,0.7242483171278983,55302,55302.0,0.2757516828721017,0,0.0,0.0,11677,11677.0,0.058224881575666916,3564,3564.0,0.017771129394166044,185309,185309.0,0.924003989030167
orig_index_records_within_provenance,elementa,CLscore_A,8,200549,200549.0,0.03232700005173683,0.05379699915647507,0.08935199677944183,True,False,True,equal record count ordered by score then orig_index,1.0,200549,2.761739026372607,3.0,200549,8.396466698911487,8.0,44668,44668.0,0.2227286099656443,11415,11415.0,0.05691875800926457,144466,144466.0,0.7203526320250911,7943,7943.0,0.03960628075931568,71239,71239.0,0.3552199213159876,121367,121367.0,0.6051737979246967,53585,53585.0,0.26719155917007814,1708,1708.0,0.008516621872958728,145256,145256.0,0.7242918189569632,49878,49878.0,0.24870729846571163,867,867.0,0.004323132999915233,149804,149804.0,0.7469695685343731,49791,49791.0,0.2482734892719485,5832,5832.0,0.029080174919845027,144926,144926.0,0.7226463358082065,54722,54722.0,0.27286099656443064,2255,2255.0,0.011244134849837197,143572,143572.0,0.7158948685857321,52352,52352.0,0.2610434357688146,4625,4625.0,0.02306169564545323,143572,143572.0,0.7158948685857321,46299,46299.0,0.2308612857705598,4450,4450.0,0.022189090945355,149800,149800.0,0.7469496232840852,140632,140632.0,0.7012351096240819,59917,59917.0,0.2987648903759181,0,0.0,0.0,15883,15883.0,0.07919760258091539,4018,4018.0,0.02003500391425537,180648,180648.0,0.9007673935048293
orig_index_records_within_provenance,elementa,CLscore_A,9,200550,200550.0,0.08935300260782242,0.14901549369096756,0.2526420056819916,False,False,False,equal record count ordered by score then orig_index,1.0,200550,2.7344203440538517,3.0,200550,8.604088755921216,8.0,56532,56532.0,0.2818848167539267,13323,13323.0,0.06643231114435302,130695,130695.0,0.6516828721017203,10362,10362.0,0.05166791323859387,75611,75611.0,0.37701819995013713,114577,114577.0,0.571313886811269,67109,67109.0,0.33462478184991273,1944,1944.0,0.009693343305908752,131497,131497.0,0.6556818748441785,61772,61772.0,0.3080129643480429,759,759.0,0.0037845923709798057,138019,138019.0,0.6882024432809773,62378,62378.0,0.31103465469957614,6992,6992.0,0.03486412365993518,131180,131180.0,0.6541012216404887,68192,68192.0,0.340024931438544,2730,2730.0,0.013612565445026177,129628,129628.0,0.6463625031164298,65852,65852.0,0.3283570181999501,5070,5070.0,0.025280478683620045,129628,129628.0,0.6463625031164298,57039,57039.0,0.2844128646222887,5509,5509.0,0.027469458987783597,138002,138002.0,0.6881176763899277,137485,137485.0,0.6855397656444777,63065,63065.0,0.31446023435552234,0,0.0,0.0,21401,21401.0,0.10671154325604587,4138,4138.0,0.0206332585390177,175011,175011.0,0.8726551982049364
