scheme,score_model,outcome,complete_n,rows_after_min_group,n,n_strata,excluded_small_rows,excluded_constant_rows,strata_too_few,strata_constant_score,strata_constant_outcome,spearman_rho,pvalue,pvalue_note
provenance+n_elements+site_bin,CLscore_A,D1_D8_explicit_violation_count,8108676,8108581,8108525,57,95,56,13,0,1,0.04370838099831275,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_A,D1_D8_no_verdict_count,8108676,8108581,8103787,51,95,4794,13,0,7,-0.28278936793137455,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_A,L2:explicit_violation,8108676,8108581,8103667,49,95,4914,13,0,9,0.054477003197169,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_A,L2:no_verdict,8108676,8108581,8103787,51,95,4794,13,0,7,-0.2755559307639889,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_A,L4:explicit_violation,8108676,8108581,6250986,52,95,1857595,13,0,6,0.03339194333834914,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_A,L4:no_verdict,8108676,8108581,6250938,51,95,1857643,13,0,7,-0.179596876206824,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_A,D7:explicit_violation,8108676,8108581,6250955,51,95,1857626,13,0,7,-0.021867764272046206,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_A,D7:no_verdict,8108676,8108581,0,0,95,8108581,13,0,58,,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_B,D1_D8_explicit_violation_count,8108676,8108581,8108525,57,95,56,13,0,1,0.05338218068559434,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_B,D1_D8_no_verdict_count,8108676,8108581,8103787,51,95,4794,13,0,7,-0.27892207924756734,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_B,L2:explicit_violation,8108676,8108581,8103667,49,95,4914,13,0,9,0.045502934131854814,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_B,L2:no_verdict,8108676,8108581,8103787,51,95,4794,13,0,7,-0.2712436177076613,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_B,L4:explicit_violation,8108676,8108581,6250986,52,95,1857595,13,0,6,0.055622635553960055,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_B,L4:no_verdict,8108676,8108581,6250938,51,95,1857643,13,0,7,-0.21998043108882306,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_B,D7:explicit_violation,8108676,8108581,6250955,51,95,1857626,13,0,7,0.007573136512956886,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_B,D7:no_verdict,8108676,8108581,0,0,95,8108581,13,0,58,,,not reported for pooled centered within-stratum ranks
provenance+n_elements+site_bin,CLscore_jang,D1_D8_explicit_violation_count,8108676,8108581,8108525,57,95,56,13,0,1,0.05874638439139541,,not reported for pooled centered within-stratum ranks
