method,target_experimental_retention,experimental_total_n,experimental_screened_n,experimental_retained_n,experimental_retention,pu_total_n,pu_screened_n,pu_retained_n,pu_screened_rate,cutoff_score,combined
L4,0.8068514148564975,99162,19153,80009,0.8068514148564975,364592,189159,175433,0.5188237811032607,,False
S_syn,0.6,99162,39663,59499,0.6000181521147213,364592,358433,6159,0.9831071444244526,0.6875363927611263,False
S_syn,0.65,99162,34706,64456,0.650007059155725,364592,353669,10923,0.9700404836090754,0.41301384849549205,False
S_syn,0.7,99162,29748,69414,0.7000060507049071,364592,346757,17835,0.9510823057006188,0.11691853951767436,False
S_syn,0.75,99162,24790,74372,0.7500050422540893,364592,332149,32443,0.9110156010005706,-0.2556687227758444,False
S_syn,0.8,99162,19832,79330,0.8000040338032715,364592,309375,55217,0.8485512572958266,-0.6628811660043802,False
S_syn,0.8068514148564975,99162,19152,80010,0.806861499364676,364592,305075,59517,0.8367572519418967,-0.7293854648224881,False
S_syn,0.85,99162,14874,84288,0.8500030253524535,364592,272043,92549,0.7461573484881731,-1.166446158036979,False
S_syn,0.9,99162,9916,89246,0.9000020169016357,364592,209048,155544,0.5733751700531005,-1.9201947223111646,False
S_syn,0.95,99162,4957,94205,0.9500110929589964,364592,74142,290450,0.20335608022117874,-3.496286369631758,False
S_syn,0.99,99162,991,98171,0.9900062523950707,364592,2826,361766,0.007751130030280423,-7.800272557595046,False
