threshold_ev_per_atom,cohort,n_total,n_supported,n_abstain,n_reject,reject_rate_of_total,reject_rate_of_supported,keep_rate_of_supported
0.0,experimental,1024,1021,3,906,0.884765625,0.8873653281096964,0.11263467189030363
0.0,pu_negative,1024,1024,0,997,0.9736328125,0.9736328125,0.0263671875
0.02,experimental,1024,1021,3,508,0.49609375,0.4975514201762977,0.5024485798237023
0.02,pu_negative,1024,1024,0,986,0.962890625,0.962890625,0.037109375
0.05,experimental,1024,1021,3,307,0.2998046875,0.3006856023506366,0.6993143976493633
0.05,pu_negative,1024,1024,0,955,0.9326171875,0.9326171875,0.0673828125
0.1,experimental,1024,1021,3,209,0.2041015625,0.20470127326150833,0.7952987267384917
0.1,pu_negative,1024,1024,0,889,0.8681640625,0.8681640625,0.1318359375
0.2,experimental,1024,1021,3,141,0.1376953125,0.13809990205680706,0.861900097943193
0.2,pu_negative,1024,1024,0,737,0.7197265625,0.7197265625,0.2802734375
0.3,experimental,1024,1021,3,105,0.1025390625,0.10284035259549461,0.8971596474045054
0.3,pu_negative,1024,1024,0,618,0.603515625,0.603515625,0.396484375
0.5,experimental,1024,1021,3,56,0.0546875,0.05484818805093046,0.9451518119490695
0.5,pu_negative,1024,1024,0,471,0.4599609375,0.4599609375,0.5400390625
1.0,experimental,1024,1021,3,17,0.0166015625,0.01665034280117532,0.9833496571988247
1.0,pu_negative,1024,1024,0,179,0.1748046875,0.1748046875,0.8251953125
