kind,lo,hi,sat,excl
one-sided,0.6,inf,0.9965167827739075,0.16367869615832364
one-sided,0.605,inf,0.9963584547181761,0.1656577415599534
one-sided,0.61,inf,0.9963584547181761,0.16868451688009312
one-sided,0.615,inf,0.9962792906903103,0.17077997671711287
one-sided,0.62,inf,0.9962792906903103,0.17334109429569267
one-sided,0.625,inf,0.9962792906903103,0.17694994179278234
one-sided,0.63,inf,0.9962001266624446,0.17986030267753206
one-sided,0.635,inf,0.9961209626345788,0.18277066356228178
one-sided,0.64,inf,0.9960417986067132,0.18509895227008144
one-sided,0.645,inf,0.9958834705509816,0.18894062863795114
one-sided,0.65,inf,0.9957251424952501,0.19348079161816067
one-sided,0.655,inf,0.9956459784673845,0.1977881257275902
one-sided,0.66,inf,0.9954084863837872,0.20104772991850994
one-sided,0.665,inf,0.9952501583280557,0.20512223515715944
one-sided,0.67,inf,0.9950918302723243,0.20942956926658907
one-sided,0.675,inf,0.9946960101329956,0.21478463329452857
one-sided,0.68,inf,0.9946168461051298,0.21955762514551802
one-sided,0.685,inf,0.9940626979100696,0.2233993015133876
one-sided,0.69,inf,0.9937460417986067,0.2274738067520372
one-sided,0.695,inf,0.9934293856871438,0.2338766006984866
one-sided,0.7,inf,0.9928752374920836,0.2393480791618161
one-sided,0.705,inf,0.9927169094363522,0.2461001164144354
one-sided,0.71,inf,0.9924794173527549,0.25203725261932475
one-sided,0.715,inf,0.9922419252691577,0.25855646100116414
one-sided,0.72,inf,0.9917669411019633,0.2658905704307334
one-sided,0.725,inf,0.9914502849905004,0.2713620488940629
one-sided,0.73,inf,0.9910544648511717,0.280558789289872
one-sided,0.735,inf,0.990025332488917,0.28812572759022115
one-sided,0.74,inf,0.9894711842938568,0.29464493597206054
one-sided,0.745,inf,0.9889170360987967,0.30267753201396974
one-sided,0.75,inf,0.9875712476250792,0.31327124563445863
one-sided,0.755,inf,0.9865421152628245,0.32118742724097793
one-sided,0.76,inf,0.9851171627612413,0.3313154831199069
one-sided,0.765,inf,0.9841671944268524,0.33899883585564605
one-sided,0.77,inf,0.9833755541481951,0.3477299185098952
one-sided,0.775,inf,0.9825839138695377,0.35739231664726423
one-sided,0.78,inf,0.9807631412286257,0.3674039580908033
one-sided,0.785,inf,0.9790215326155794,0.3774155995343422
one-sided,0.79,inf,0.9775965801139962,0.3875436554132713
one-sided,0.795,inf,0.9753008233058899,0.3959254947613504
one-sided,0.8,inf,0.9728467384420519,0.4064027939464494
one-sided,0.805,inf,0.9697593413552882,0.4157159487776484
one-sided,0.81,inf,0.9661177960734643,0.42817229336437723
one-sided,0.815,inf,0.9631095630145662,0.43771827706635624
one-sided,0.82,inf,0.9585180493983534,0.4466821885913853
one-sided,0.825,inf,0.9548765041165295,0.45890570430733413
one-sided,0.83,inf,0.9503641545281823,0.4690337601862631
one-sided,0.835,inf,0.9456143128562381,0.4784633294528522
one-sided,0.84,inf,0.9386478784040532,0.49010477299185096
one-sided,0.845,inf,0.9311272957568081,0.49790454016298025
one-sided,0.85,inf,0.9244775174160861,0.5073341094295692
one-sided,0.855,inf,0.9173527549081697,0.5143189755529686
one-sided,0.86,inf,0.9078530715642812,0.5227008149010477
one-sided,0.865,inf,0.8984325522482584,0.5327124563445867
one-sided,0.87,inf,0.8878245725142495,0.5413271245634459
one-sided,0.875,inf,0.8748416719442685,0.5511059371362048
one-sided,0.88,inf,0.8615421152628245,0.559487776484284
one-sided,0.885,inf,0.8467384420519316,0.5683352735739231
one-sided,0.89,inf,0.8328055731475618,0.5761350407450524
one-sided,0.895,inf,0.8151519949335022,0.5857974388824214
one-sided,0.9,inf,0.7926694110196327,0.5939464493597206
one-sided,0.905,inf,0.7704243191893604,0.6018626309662398
one-sided,0.91,inf,0.7458043065231159,0.609895227008149
one-sided,0.915,inf,0.7196010132995567,0.6181606519208382
one-sided,0.92,inf,0.6918936035465485,0.6259604190919674
one-sided,0.925,inf,0.6594363521215959,0.6360884749708964
one-sided,0.93,inf,0.6228625712476251,0.6473806752037252
one-sided,0.935,inf,0.5758391386953768,0.659720605355064
one-sided,0.94,inf,0.5320614312856238,0.669150174621653
one-sided,0.945,inf,0.4834547181760608,0.681140861466822
one-sided,0.95,inf,0.4390436985433819,0.6938300349243306
one-sided,0.955,inf,0.39787840405319824,0.7038416763678697
one-sided,0.96,inf,0.3552881570614313,0.7125727590221187
one-sided,0.965,inf,0.3125395820139329,0.7231664726426077
one-sided,0.97,inf,0.279290690310323,0.7308498253783469
one-sided,0.975,inf,0.24493350221659277,0.7391152502910361
one-sided,0.98,inf,0.21057631412286257,0.7469150174621653
one-sided,0.985,inf,0.1815231158961368,0.7536670547147846
one-sided,0.99,inf,0.15484483850538316,0.760186263096624
one-sided,0.995,inf,0.13236225459151363,0.7648428405122235
two-sided,0.6,1.0,0.8852121595946801,0.39476135040745053
two-sided,0.6,1.02,0.9240816972767575,0.38707799767171125
two-sided,0.6,1.04,0.9381728942368588,0.3821885913853318
two-sided,0.6,1.06,0.9434768841038632,0.3793946449359721
two-sided,0.6,1.08,0.9469601013299557,0.37520372526193246
two-sided,0.6,1.1,0.9485433818872704,0.36961583236321305
two-sided,0.6,1.12,0.949572514249525,0.36298020954598376
two-sided,0.6,1.14,0.9502058264724509,0.3527357392316647
two-sided,0.6,1.16,0.9506808106396454,0.3435389988358556
two-sided,0.6,1.18,0.9514724509183027,0.3272409778812573
two-sided,0.6,1.2,0.9517891070297657,0.3116414435389988
two-sided,0.6,1.22,0.9520265991133628,0.29476135040745055
two-sided,0.6,1.24,0.9521057631412286,0.2767171129220023
two-sided,0.6,1.26,0.9524224192526916,0.259604190919674
two-sided,0.6,1.28,0.952580747308423,0.24307334109429568
two-sided,0.6,1.3,0.952580747308423,0.22968568102444709
two-sided,0.6,1.32,0.952580747308423,0.21827706635622812
two-sided,0.6,1.34,0.9526599113362888,0.2086146682188591
two-sided,0.6,1.36,0.9526599113362888,0.20128055878928985
two-sided,0.6,1.38,0.9526599113362888,0.1963911525029104
two-sided,0.6,1.4,0.9526599113362888,0.19371362048894059
two-sided,0.6,1.42,0.9528182393920203,0.19220023282887078
two-sided,0.6,1.44,0.9528182393920203,0.1910360884749709
two-sided,0.6,1.46,0.9528182393920203,0.19045401629802095
two-sided,0.6,1.48,0.9528182393920203,0.1896391152502911
two-sided,0.6,1.5,0.9528182393920203,0.18940628637951107
two-sided,0.6,1.52,0.9528182393920203,0.18928987194412106
two-sided,0.6,1.54,0.9528182393920203,0.1887077997671711
two-sided,0.6,1.56,0.9529765674477517,0.18812572759022117
two-sided,0.6,1.58,0.953214059531349,0.18800931315483116
two-sided,0.6,1.6,0.9535307156428119,0.1870779976717113
two-sided,0.6,1.62,0.9539265357821406,0.18603026775320142
two-sided,0.6,1.64,0.9541640278657378,0.18509895227008144
two-sided,0.6,1.66,0.9550348321722609,0.1844004656577416
two-sided,0.6,1.68,0.9553514882837238,0.18393480791618155
two-sided,0.6,1.7,0.9559848005066498,0.18346915017462162
two-sided,0.6,1.72,0.9567764407853071,0.18265424912689177
two-sided,0.6,1.74,0.9569347688410387,0.18242142025611174
two-sided,0.6,1.76,0.9573305889803673,0.1818393480791618
two-sided,0.6,1.78,0.9578847371754274,0.1816065192083819
two-sided,0.6,1.8,0.9585180493983534,0.18090803259604193
two-sided,0.6,1.82,0.959230525649145,0.180325960419092
two-sided,0.6,1.84,0.9597055098163395,0.17974388824214205
two-sided,0.6,1.86,0.9612887903736542,0.17939464493597201
two-sided,0.6,1.88,0.9621595946801773,0.17892898719441208
two-sided,0.6,1.9,0.9634262191260291,0.17857974388824216
two-sided,0.6,1.92,0.9652469917669411,0.17811408614668223
two-sided,0.6,1.94,0.9669886003799874,0.17718277066356225
