x,y,n
-129.7245,-13.8332,116
-129.7245,-9.1029,63
-129.7245,-5.5552,116
-129.7245,-0.825,116
-129.7245,3.9053,87
-129.7245,7.453,116
-129.7245,11.0007,116
-129.7245,15.7309,115
-128.542,-18.5634,116
-128.542,-9.1029,53
-128.542,15.7309,1
-128.542,19.2786,116
-127.3594,-22.1111,174
-127.3594,-3.1901,25
-127.3594,-2.0075,33
-127.3594,2.7227,116
-127.3594,22.8263,116
-127.3594,27.5566,116
-126.1768,-26.8414,174
-126.1768,-15.0157,116
-126.1768,-11.4681,116
-126.1768,-6.7378,58
-126.1768,-3.1901,116
-126.1768,6.2704,174
-126.1768,8.6355,116
-126.1768,13.3658,87
-126.1768,31.1043,116
-124.9943,-35.1193,87
-124.9943,-31.5717,174
-124.9943,-13.8332,2
-124.9943,-7.9204,112
-124.9943,-6.7378,4
-124.9943,-5.5552,53
-124.9943,0.3576,174
-124.9943,11.0007,87
-124.9943,15.7309,116
-124.9943,19.2786,116
-124.9943,21.6438,87
-124.9943,25.1915,116
-124.9943,35.8345,116
-123.8117,-39.8496,87
-123.8117,-23.2937,174
-123.8117,-19.746,174
-123.8117,-16.1983,116
-123.8117,-13.8332,56
-123.8117,-12.6506,116
-123.8117,-6.7378,62
-123.8117,-5.5552,59
-123.8117,2.7227,116
-123.8117,28.7392,116
-123.8117,39.3822,116
-122.6291,-28.024,174
-122.6291,-10.2855,58
-122.6291,-9.1029,58
-122.6291,-3.1901,117
-122.6291,2.7227,58
-122.6291,6.2704,174
-122.6291,8.6355,58
-122.6291,9.8181,58
-122.6291,13.3658,58
-122.6291,14.5484,58
-122.6291,16.9135,87
-122.6291,20.4612,43
-122.6291,26.374,16
-122.6291,32.2868,116
-122.6291,42.9299,116
-121.4466,-44.5799,87
-121.4466,-37.4845,116
-121.4466,-32.7542,174
-121.4466,-18.5634,116
-121.4466,-15.0157,116
-121.4466,-12.6506,56
-121.4466,-9.1029,58
-121.4466,-6.7378,1
-121.4466,-3.1901,57
-121.4466,0.3576,101
-121.4466,12.1832,116
-121.4466,18.0961,87
-121.4466,20.4612,73
-121.4466,24.0089,116
-121.4466,26.374,42
-121.4466,34.652,116
-121.4466,47.6602,116
-120.264,-48.1276,116
-120.264,-41.0322,116
-120.264,-29.2065,174
-120.264,-25.6588,174
-120.264,-22.1111,174
-120.264,-12.6506,2
-120.264,-11.4681,116
-120.264,-6.7378,57
-120.264,-5.5552,116
-120.264,0.3576,160
-120.264,3.9053,174
-120.264,8.6355,116
-120.264,13.3658,61
