direction,rule,axis,condition,k,n,p,lo,hi
marginal,-,on_hull,all (determinate subset),4651,13861,0.3355457759180434,0.3277316333867682,0.3434510473860001
marginal_fullset,-,on_hull,"all (26,600)",9281,26600,0.3489097744360902,0.3432042081456881,0.3546589740401709
marginal,-,hull_50meV,all (determinate subset),9137,13861,0.659187648798788,0.6512538593754635,0.6670332276501503
marginal_fullset,-,hull_50meV,"all (26,600)",17168,26600,0.6454135338345864,0.639643978774193,0.6511410949518824
marginal,-,dyn_stable,all (determinate subset),6469,13861,0.46670514392900947,0.45841020516783787,0.47501853235207103
marginal_fullset,-,dyn_stable,"all (26,600)",12963,26600,0.48733082706766917,0.4813263639078342,0.4933389489552249
marginal,-,made,all (determinate subset),5910,13861,0.42637616333597866,0.41816462517053987,0.4346284986410899
marginal_fullset,-,made,"all (26,600)",10190,26600,0.3830827067669173,0.37725791290323407,0.38894126515051597
marginal,D1_735,-,all (determinate subset),13410,13861,0.967462665031383,0.9643770689674069,0.9702892262433179
marginal,D1_804,-,all (determinate subset),13184,13861,0.9511579251136282,0.9474430657050227,0.9546227846075428
marginal,D7,-,all (determinate subset),12475,13861,0.9000072144866893,0.8949017383395186,0.9048910348367857
marginal,D8,-,all (determinate subset),13224,13861,0.954043719789337,0.9504302942046685,0.9574055463553587
marginal,L4core,-,all (determinate subset),11323,13861,0.8168963278262752,0.8103703483484271,0.8232467057009762
forward,D1_735,on_hull,class true,4510,4651,0.9696839389378629,0.964355635215752,0.974237019045536
forward,D1_735,on_hull,class false,8900,9210,0.9663409337676439,0.9624588665094721,0.9698341448681579
reverse,D1_735,on_hull,rule accepts,4510,13410,0.33631618195376584,0.3283677816334859,0.34435833388853576
reverse,D1_735,on_hull,rule rejects,141,451,0.31263858093126384,0.2715894125841558,0.3568525495048311
forward,D1_735,hull_50meV,class true,8804,9137,0.9635547772791945,0.9595134189725487,0.9672065157469937
forward,D1_735,hull_50meV,class false,4606,4724,0.9750211685012701,0.9701700323273345,0.9791003776663797
reverse,D1_735,hull_50meV,rule accepts,8804,13410,0.6565249813571962,0.6484439421524724,0.6645163692458314
reverse,D1_735,hull_50meV,rule rejects,333,451,0.738359201773836,0.695903091207153,0.7767890872003491
forward,D1_735,dyn_stable,class true,6337,6469,0.9795949914979131,0.9758543930473408,0.9827663362684219
forward,D1_735,dyn_stable,class false,7073,7392,0.9568452380952381,0.9519707169510503,0.9612451811459545
reverse,D1_735,dyn_stable,rule accepts,6337,13410,0.47255779269202086,0.46411701560248586,0.48101428759209447
reverse,D1_735,dyn_stable,rule rejects,132,451,0.2926829268292683,0.25258301891838947,0.33628471428066703
forward,D1_735,made,class true,5623,5910,0.9514382402707275,0.9456587941540127,0.9566312041754447
forward,D1_735,made,class false,7787,7951,0.9793736636901019,0.9760102751289772,0.9822740652267025
reverse,D1_735,made,rule accepts,5623,13410,0.4193139448173005,0.41098653170854776,0.4276875717059521
reverse,D1_735,made,rule rejects,287,451,0.6363636363636364,0.5909885901995813,0.679435307214943
forward,D1_804,on_hull,class true,4416,4651,0.9494732315631047,0.9427992435867799,0.955405354139575
forward,D1_804,on_hull,class false,8768,9210,0.9520086862106406,0.9474517171059657,0.9561887500337489
reverse,D1_804,on_hull,rule accepts,4416,13184,0.33495145631067963,0.3269441428778284,0.3430549230353305
reverse,D1_804,on_hull,rule rejects,235,677,0.34711964549483015,0.3122131471066299,0.3837513137554467
forward,D1_804,hull_50meV,class true,8663,9137,0.9481230163073219,0.9433843189472324,0.9524850642918578
forward,D1_804,hull_50meV,class false,4521,4724,0.9570279424216765,0.9508640954407932,0.962449102053159
reverse,D1_804,hull_50meV,rule accepts,8663,13184,0.6570843446601942,0.6489369584452856,0.6651402173331372
reverse,D1_804,hull_50meV,rule rejects,474,677,0.7001477104874446,0.6645828630836577,0.7334540021645415
