rung,axis,direction,class,k,n,p,lo,hi
-,on_hull,marginal,full set,9281,26600,0.3489097744360902,0.3432042081456881,0.3546589740401709
-,hull_50meV,marginal,full set,17168,26600,0.6454135338345864,0.639643978774193,0.6511410949518824
-,dyn_stable,marginal,full set,12963,26600,0.48733082706766917,0.4813263639078342,0.4933389489552249
-,made,marginal,full set,10190,26600,0.3830827067669173,0.37725791290323407,0.38894126515051597
L1,-,marginal,rung accepts | determinate,16406,16525,0.9927987897125568,0.9913901587485152,0.9939783584931071
L1,-,marginal,determinate | all,16525,26600,0.6212406015037594,0.6153941561325874,0.6270520338277522
L1,on_hull,marginal,class true | determinate,5675,16525,0.3434190620272315,0.33621628408500726,0.3506946217463064
L1,on_hull,forward,class true,5653,5675,0.9961233480176211,0.9941370391436415,0.9974384504755688
L1,on_hull,forward,class false,10753,10850,0.9910599078341014,0.989106768751151,0.9926654489865685
L1,on_hull,reverse,rung accepts,5653,16406,0.3445690600999634,0.3373342983477511,0.351876593006801
L1,on_hull,reverse,rung rejects,22,119,0.18487394957983194,0.12537708035320613,0.26407986097574737
L1,hull_50meV,marginal,class true | determinate,10747,16525,0.6503479576399395,0.6430432092852398,0.657582821424751
L1,hull_50meV,forward,class true,10705,10747,0.9960919326323625,0.9947220332842108,0.9971073077811229
L1,hull_50meV,forward,class false,5701,5778,0.9866735894773278,0.9833769227910223,0.9893235637330602
L1,hull_50meV,reverse,rung accepts,10705,16406,0.65250518103133,0.6451838478470219,0.6597551128709823
L1,hull_50meV,reverse,rung rejects,42,119,0.35294117647058826,0.272906755334419,0.44217315061909274
L1,dyn_stable,marginal,class true | determinate,8117,16525,0.4911951588502269,0.4835758964261549,0.49881851393073634
L1,dyn_stable,forward,class true,8076,8117,0.9949488727362326,0.9931552187399223,0.9962742684313295
L1,dyn_stable,forward,class false,8330,8408,0.9907231208372979,0.9884380946488043,0.9925599472658965
L1,dyn_stable,reverse,rung accepts,8076,16406,0.49225892965988055,0.4846115797976529,0.49990990381098566
L1,dyn_stable,reverse,rung rejects,41,119,0.3445378151260504,0.2652223894740537,0.4335763682482301
L1,made,marginal,class true | determinate,7283,16525,0.4407261724659607,0.43317119631507706,0.44830870021121155
L1,made,forward,class true,7213,7283,0.9903885761362076,0.987875046665166,0.9923850619657725
L1,made,forward,class false,9193,9242,0.9946981172906297,0.992998127012103,0.995987033584228
L1,made,reverse,rung accepts,7213,16406,0.439656223332927,0.4320761755838553,0.44726452341261785
L1,made,reverse,rung rejects,70,119,0.5882352941176471,0.4984009515831999,0.6725511048446932
L1',-,marginal,rung accepts | determinate,15791,15975,0.9884820031298904,0.9867059752535534,0.9900231599732418
L1',-,marginal,determinate | all,15975,26600,0.6005639097744361,0.5946639276252329,0.6064348500938085
L1',on_hull,marginal,class true | determinate,5443,15975,0.3407198748043819,0.3334093901979715,0.34810694419242
L1',on_hull,forward,class true,5409,5443,0.9937534447914753,0.9912840842621178,0.9955263526922472
L1',on_hull,forward,class false,10382,10532,0.9857576908469426,0.9833111567856461,0.9878500020066291
L1',on_hull,reverse,rung accepts,5409,15791,0.3425368881008169,0.3351742658572424,0.3499761034601521
