criterion,kind,used_by,real_satisfaction,exclusion_total,S1_uniaxial_compression,S2_cation_cation_swap,S3_random_displacement,S4_isotropic_expansion,S5_cation_anion_swap
min pair distance > 0.5 A,absolute,CDVAE; DiffCSP; FlowMM,1.0,0.0158102766798419,0.0,0.0,0.0727272727272727,0.0,0.0
min pair distance > 0.7 A,absolute,LeMat-GenBench,1.0,0.0321146245059288,0.0022727272727273,0.0,0.1454545454545455,0.0,0.0
min pair distance > 1.0 A,absolute,(stricter variant),0.9954545454545456,0.0780632411067193,0.0045454545454545,0.0,0.35,0.0,0.0045454545454545
"L1 (D1, tau=0.735)",relative,this work,0.990909090909091,0.2677865612648221,0.1886363636363636,0.2992424242424242,0.8409090909090909,0.0,0.0227272727272727
"D1 alone, tau=0.804",relative,this work,0.9772727272727272,0.3858695652173913,0.5295454545454545,0.4924242424242424,0.9113636363636364,0.0,0.0386363636363636
L1' (D1+D2),relative,this work,0.9863636363636364,0.3582015810276679,0.1886363636363636,0.2992424242424242,0.8409090909090909,0.4068181818181818,0.0318181818181818
"L2 (D1,D3-D5)",relative,this work,0.9659090909090908,0.5879446640316206,0.5431818181818182,0.5075757575757576,0.9454545454545454,0.6454545454545455,0.2659090909090909
"L3 (D1,D3-D6)",relative,this work,0.9181818181818182,0.6689723320158103,0.6045454545454545,0.5303030303030303,0.9477272727272728,0.65,0.5568181818181819
"L4 (D1,D3-D8)",relative,this work,0.8295454545454546,0.8789525691699605,0.7295454545454545,0.8636363636363636,1.0,0.8045454545454546,0.990909090909091
SMACT charge neutrality,compositional,CDVAE; DiffCSP; FlowMM; LeMat-GenBench,0.7681818181818182,0.0,0.0,0.0,0.0,0.0,0.0
MatterSim dE > 0.135 eV (90th pct),mlip,(scored here; SI),0.9041095890410958,0.8606150793650794,0.8105022831050228,0.7462121212121212,1.0,0.8789954337899544,0.821917808219178
MatterSim dE > 0.05 eV,mlip,(scored here; SI),0.819634703196347,0.9320436507936508,0.9200913242009132,0.8901515151515151,1.0,0.908675799086758,0.9246575342465754
