anion,n_real,n_bad,L1_sat,L1_excl,L1p_sat,L1p_excl
O,5426,3783,0.9856247696277184,0.30372720063441716,0.9841503870254331,0.457573354480571
S,1879,1273,0.9925492283129325,0.30557737627651216,0.9914848323576371,0.3071484681853889
F,1152,959,0.9956597222222222,0.28154327424400416,0.9913194444444444,0.47236704900938475
Se,1060,741,0.9962264150943396,0.2699055330634278,0.9952830188679245,0.2699055330634278
Te,709,457,0.997179125528914,0.28665207877461707,0.997179125528914,0.28665207877461707
N,646,403,0.9814241486068112,0.3126550868486352,0.9566563467492261,0.4143920595533499
Cl,565,358,0.9911504424778761,0.2960893854748603,0.9876106194690265,0.4022346368715084
P,551,303,1.0,0.03300330033003296,1.0,0.03300330033003296
I,343,164,0.9883381924198251,0.3109756097560976,0.9854227405247813,0.3109756097560976
Br,301,149,0.9933554817275747,0.3221476510067114,0.9833887043189369,0.3959731543624161
