split,ruleset,n_real,n_bad,sat,excl,S1,S2,S3,S4,S5
discovery,L1,12632,8590,0.990025332488917,0.2881257275902211,0.1922268907563025,0.3234811165845649,0.8792650918635171,0.0024096385542168,0.0189174986862847
discovery,L1',12632,8590,0.987017099430019,0.3878928987194412,0.1927521008403361,0.3243021346469622,0.8797900262467192,0.5126506024096386,0.0225959012086179
discovery,L2,12632,8590,0.951076630778974,0.6173457508731083,0.5577731092436975,0.5517241379310345,0.958005249343832,0.7548192771084338,0.2580136626379401
discovery,L3,12632,8590,0.9071405953134896,0.7052386495925494,0.6108193277310925,0.5656814449917897,0.9653543307086614,0.7620481927710844,0.5790856542301629
calibration,L1,5297,3612,0.9918821974702662,0.2890365448504983,0.1803482587064676,0.3414141414141414,0.8734491315136477,0.0014245014245014,0.0310559006211179
calibration,L1',5297,3612,0.9894279781008116,0.3837209302325581,0.1803482587064676,0.3414141414141414,0.8734491315136477,0.4786324786324786,0.039751552795031
calibration,L2,5297,3612,0.9579006985085896,0.6121262458471761,0.5609452736318408,0.5393939393939393,0.9454094292803972,0.7407407407407407,0.262111801242236
calibration,L3,5297,3612,0.917122899754578,0.7004429678848283,0.6181592039800995,0.5515151515151515,0.955334987593052,0.7492877492877492,0.5763975155279504
discovery,L4,12632,8590,0.8107,0.9051,0.7242647058823529,0.8924466338259441,1.0,0.9228915662650602,0.9837099316868104
calibration,L4,5297,3612,0.8180101944496885,0.9111295681063123,0.7338308457711442,0.9090909090909091,1.0,0.9287749287749287,0.9850931677018634
